Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,-5.74%,16.24B,29.55,2.25,-0.14%,49.87M,-3.50%,-81.00M,-,0.42,18.02%,2.37%,-2.15%,2.31B,7.05,19.77%,8.91%,2.33,-14.28%,19.70,3.37,35.85%,-1.29%,1.18M,40.96%,6.56,10.11,32.14%,-1.72%,40.30,86.58,-6.35%,-,52.06,20.21%,-1.68%,-23.37%,2.11,-,2.46,-4.00%,76.44%,64.64%,1.96,-,2.46,49.24%,-6.94%,44.32,2.79%,1.71%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,1.36,69.70,1.51%,11.72%,13.04%,May 07 AMC,505.63K,66.35,-1.89%,0.63%,-3.14%,"

","686,137",-4.81%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-4.56%,2.96B,14.44,0.87,0.00%,186.36M,-9.96%,-51.80M,-,0.13,63.65%,10.65%,-9.38%,1.08B,2.75,9.47%,4.30%,4.52,-42.20%,2.87,4.38,35.63%,-6.33%,19.86M,-23.55%,1.55,8.12,20.44%,-11.93%,10.69,38.20,-30.18%,-,24.38,-5.22%,-5.88%,-67.12%,1.24,-,3.33,26.86%,54.78%,17.49%,0.59,-,3.33,73.68%,-3.42%,42.33,3.33%,2.46%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,0.95,12.60,4.02%,-13.02%,35.64%,May 01 AMC,4.40M,12.56,-4.48%,-3.23%,-37.13%,"

","4,173,555",-0.32%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.74,1.60,2.31%,42.23M,-7.82%,1.33B,4.44,7.11,0.73%,41.12M,-3.10%,76.66M,4.42,1.19,106.55%,8.78%,-22.58%,1.42B,0.94,2.61%,-4.24%,6.08,-46.42%,43.13,0.73,4.72%,2.12%,3.61M,-43.26%,10.24,3.08,4.47%,4.12%,29.15,60.62,-41.88%,-,5.75,-20.26%,2.85%,-47.90%,1.61,-,1.52,0.43%,71.81%,8.35%,1.38,"May 17, 2019",1.52,36.80%,15.50%,45.25,3.53%,2.71%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.70,31.40,1.84%,-8.51%,4.50%,May 08 AMC,593.81K,31.58,-1.91%,-1.12%,-30.24%,"

","414,776",0.57%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.35,10.58,0.80%,51.14M,-3.40%,14.72B,17.57,16.46,0.80%,50.45M,-3.75%,549.00M,2.62,3.30,91.55%,1.63%,2.40%,5.09B,2.89,7.37%,2.02%,1.33,-29.02%,70.91,4.08,13.41%,7.24%,0.82M,-6.33%,17.28,16.74,10.45%,16.16%,205.73,427.76,-25.08%,-,14.70,0.42%,9.33%,-32.35%,1.75,-,1.02,2.27%,46.59%,40.65%,8.00,-,1.45,109.89%,15.19%,52.07,2.70%,1.86%,9900,0.65,16.72%,10.78%,2.00,319.07,Yes / Yes,0.62,18.23%,0.00%,0.92,293.06,1.39%,11.14%,10.65%,Apr 29 BMO,622.13K,289.36,-0.75%,8.04%,-14.10%,"

","570,110",-1.26%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,19.99,4.51,0.14%,197.90M,-4.96%,17.85B,10.85,8.32,-1.16%,197.57M,-6.95%,913.30M,4.74,1.98,94.98%,2.79%,-20.08%,7.70B,2.32,-0.35%,1.59%,2.44,-15.57%,62.63,1.44,4.31%,4.19%,5.51M,-15.67%,7.00,12.89,4.22%,7.31%,89.22,116.71,-14.60%,0.89 (0.99%),14.36,-4.13%,4.81%,-22.71%,0.73,0.96 (1.06%),1.46,-0.77%,62.31%,1.11%,2.15,"Jun 26, 2025",2.44,-2.39%,18.72%,38.64,1.46%,1.42%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,0.74,92.16,0.73%,2.22%,1.05%,May 05 BMO,2.26M,90.21,-2.58%,-6.37%,-13.77%,"

","1,665,850",-2.12%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,-5.43%,16.27B,30.08,2.25,-0.34%,162.81M,-3.12%,-81.00M,-,0.42,68.65%,8.56%,-2.82%,2.31B,7.06,20.54%,9.09%,5.33,-15.81%,19.70,3.43,35.14%,-1.29%,13.93M,39.44%,6.68,10.12,32.56%,-1.72%,41.67,89.39,-8.67%,-,52.14,20.21%,-1.68%,-24.34%,2.13,-,2.46,-4.00%,76.44%,62.30%,2.01,"Jan 12, 2011",2.46,49.24%,-6.94%,45.18,2.70%,1.71%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,1.00,70.94,1.50%,10.87%,13.04%,May 07 AMC,2.62M,67.63,-1.46%,0.96%,-4.17%,"

","2,624,039",-4.67%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,17.98,2.39,3.59%,375.00M,-4.11%,16.03B,14.87,2.89,-0.34%,359.93M,-2.90%,916.00M,1.59,0.58,89.45%,2.36%,-20.04%,11.33B,1.42,8.61%,5.21%,2.79,-14.11%,15.42,2.78,13.59%,8.22%,8.48M,23.61%,5.34,8.05,11.29%,15.73%,28.50,53.99,-10.88%,0.87 (2.02%),20.63,4.31%,12.04%,-20.49%,0.27,0.80 (1.86%),1.11,5.19%,16.94%,50.63%,1.11,"May 28, 2025",1.26,19.36%,11.95%,43.07,1.39%,1.63%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.48,43.82,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.04M,42.93,-1.57%,-2.99%,-5.95%,"

","1,463,415",-2.03%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,27.91,5.02,0.15%,278.00M,-2.73%,38.91B,20.81,6.73,-20.77%,277.54M,-5.46%,1.43B,2.40,1.46,84.61%,1.52%,-11.00%,7.74B,5.03,12.06%,-1.40%,1.97,0.97%,-28.07,-,11.38%,22.12%,4.21M,1.43%,2.69,52.02,11.63%,-,122.13,163.30,4.35%,2.84 (2.03%),26.82,4.75%,32.45%,-14.27%,0.73,2.76 (1.97%),1.40,6.17%,46.80%,14.62%,2.57,"May 27, 2025",1.40,-11.50%,31.12%,34.29,0.95%,0.79%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.88,141.94,-3.55%,0.94%,11.83%,Apr 30 BMO,2.14M,139.99,-2.86%,-3.76%,-0.53%,"

","1,892,918",-1.37%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.22,4.31,0.04%,393.26M,-2.37%,13.93B,8.27,4.28,0.00%,393.12M,-1.25%,1.67B,-,0.72,9.10%,1.66%,4.85%,19.64B,0.71,-55.43%,-9.60%,3.06,-19.40%,30.14,1.18,60.40%,5.92%,6.54M,67.36%,3.13,11.33,-2.06%,15.54%,16.18,47.43,-16.65%,-,-,-,8.53%,-25.30%,1.84,-,0.59,7.05%,25.22%,118.97%,1.53,"Jul 09, 2019",0.79,156.14%,7.55%,52.66,1.33%,2.45%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.71,35.48,-0.71%,-105.27%,7.42%,May 08 BMO,2.14M,35.43,-0.38%,6.37%,5.68%,"

","1,526,569",-0.14%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.16,1.86,8.83%,92.94M,-5.47%,3.26B,17.24,1.42,-14.72%,84.73M,-0.37%,176.28M,-,0.30,104.31%,25.01%,-7.57%,802.81M,4.07,-30.59%,-2.21%,10.89,-8.08%,1.25,19.69,13.90%,16.56%,21.19M,38.48%,3.98,6.16,-4.45%,124.77%,17.58,38.47,-6.90%,0.50 (2.04%),10.98,-,76.56%,-36.21%,1.22,0.47 (1.93%),0.85,32.00%,59.68%,39.57%,0.78,"Jun 10, 2025",0.85,223.84%,17.05%,43.47,2.07%,2.11%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.58,24.36,1.98%,11.26%,18.05%,May 08 BMO,1.95M,24.54,-2.45%,-3.00%,-9.76%,"

","1,124,896",0.74%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.01,0.50,5.31%,939.30M,-2.37%,11.22B,14.46,0.83,0.00%,889.44M,-3.32%,520.12M,0.67,0.16,63.89%,2.46%,-11.75%,1.62B,6.94,64.84%,0.96%,2.53,6.23%,5.04,2.37,22.46%,9.19%,21.88M,30.49%,2.98,4.01,35.77%,10.30%,6.66,13.85,10.35%,0.14 (1.21%),-,-,9.86%,-13.76%,0.21,0.10 (0.80%),7.66,34.26%,59.12%,79.28%,0.47,"Apr 07, 2025",7.66,57.72%,28.33%,49.26,3.33%,2.90%,7185,0.00,28.87%,32.16%,1.38,15.59,Yes / Yes,0.00,115.27%,20.00%,0.30,12.18,-14.04%,-55.04%,17.56%,May 21 BMO,8.65M,11.94,-0.18%,3.49%,11.51%,"

","2,565,305",-1.97%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.59%,123.47M,-4.86%,1.01B,14.44,0.57,-0.91%,99.64M,17.07%,-23.36M,-,0.12,66.03%,2.21%,31.68%,434.45M,2.32,43.57%,-6.30%,2.31,22.65%,1.15,7.15,13.43%,-4.43%,2.21M,59.81%,1.08,7.63,25.39%,-15.69%,4.69,9.15,29.40%,-,21.41,27.34%,-10.82%,-10.05%,1.00,-,0.69,7.09%,76.19%,75.48%,0.35,-,0.69,-278.88%,1.68%,62.23,2.62%,6.44%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,0.95,8.39,1.75%,6.67%,14.06%,Jun 03 AMC,953.42K,8.23,7.86%,19.63%,21.28%,"

","910,422",-1.91%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,14.23,2.07,1.00%,82.79M,-9.21%,2.44B,11.71,2.52,0.00%,81.99M,-8.22%,176.44M,12.82,0.54,106.23%,9.08%,-13.72%,1.84B,1.33,-26.69%,-1.00%,3.09,-33.27%,9.23,3.19,25.83%,14.97%,7.44M,-28.97%,3.13,9.43,1.11%,25.01%,26.61,45.25,-23.42%,-,9.98,28.53%,19.18%,-34.83%,1.86,-,1.47,14.90%,58.18%,10.82%,1.18,-,2.58,3.69%,13.11%,42.79,2.97%,2.53%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.70,30.53,1.18%,15.28%,2.85%,May 08 BMO,2.41M,29.49,-4.26%,-1.02%,-17.98%,"

","1,689,973",-3.41%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.03,2.08,3.10%,64.74M,-4.81%,2.26B,13.37,2.65,-9.37%,61.86M,-9.53%,143.09M,1.00,0.52,96.59%,6.53%,1.20%,1.44B,1.57,14.57%,-2.43%,4.77,-11.89%,11.24,3.15,22.98%,14.46%,4.04M,-3.49%,5.24,6.76,17.05%,19.74%,32.28,41.72,-8.50%,-,8.37,29.12%,19.12%,-15.12%,1.02,-,2.89,6.84%,87.90%,9.68%,0.87,-,2.89,29.17%,12.35%,37.78,1.06%,1.31%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,0.93,35.63,1.54%,11.11%,7.75%,May 08 AMC,845.79K,35.41,-4.94%,-2.54%,-3.09%,"

","784,060",-0.62%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.37,0.77,-,133.34M,-6.54%,857.38M,7.61,0.84,-,131.47M,-18.09%,141.18M,-,-,7.99%,1.06%,22.24%,344.82M,2.49,7.43%,5.01%,1.11,49.53%,4.46,1.44,6.29%,18.90%,1.39M,37.98%,5.18,1.24,-,21.03%,3.71,8.29,58.37%,-,-,27.89%,19.10%,-22.44%,0.81,-,6.80,39.86%,64.88%,73.32%,0.39,-,8.16,9.72%,35.80%,40.54,4.85%,3.54%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.40,6.47,2.55%,-,6.53%,May 19 AMC,1.26M,6.43,-7.33%,-7.35%,29.49%,"

","505,623",-0.62%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.40,4.11,12.83%,556.83M,-1.80%,38.94B,17.45,3.63,-0.14%,536.11M,9.82%,2.61B,1.54,0.67,63.68%,3.51%,6.15%,23.94B,1.63,-19.92%,-12.78%,1.90,-32.72%,34.80,1.82,34.45%,7.26%,18.82M,1.54%,13.21,4.79,10.03%,12.93%,44.27,99.26,-25.50%,-,32.52,41.45%,9.52%,-36.21%,2.74,-,2.26,38.62%,37.35%,43.03%,2.31,-,2.27,425.38%,8.39%,56.00,3.87%,2.67%,11372,0.28,4.60%,10.92%,1.85,66.93,Yes / Yes,0.28,-59.33%,0.00%,0.55,64.82,-6.70%,-42.53%,-3.11%,May 01 AMC,9.90M,63.32,1.85%,10.33%,-11.15%,"

","5,401,110",-2.31%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,33.73,3.72,0.64%,243.40M,-2.43%,30.51B,24.25,5.17,-1.03%,241.79M,-2.08%,906.00M,3.24,1.15,95.20%,1.20%,3.68%,8.60B,3.55,8.66%,1.59%,1.72,3.55%,44.44,2.82,11.44%,5.58%,2.91M,-10.88%,4.35,28.81,10.41%,8.62%,100.47,143.50,8.06%,1.43 (1.14%),34.32,10.55%,7.08%,-12.63%,1.12,1.52 (1.21%),1.41,10.25%,37.52%,24.78%,2.13,"May 29, 2025",1.89,32.64%,12.81%,50.12,1.58%,0.96%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.49,127.59,1.41%,7.86%,1.62%,Apr 29 BMO,1.69M,125.37,-0.79%,3.83%,0.57%,"

","824,074",-1.74%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,-6.34%,3.06B,7.50,2.05,1.01%,197.77M,-7.96%,-908.00M,-,0.50,102.43%,4.52%,-2.35%,3.72B,0.82,13.38%,1.02%,2.91,-23.19%,10.09,1.52,8.16%,-13.79%,8.94M,-42.43%,2.00,7.70,10.51%,-34.47%,12.16,27.95,-19.02%,0.67 (4.36%),11.02,-,-24.60%,-45.01%,0.97,0.64 (4.16%),0.76,-1.20%,51.84%,26.40%,0.53,"Jun 27, 2025",1.10,-921.99%,6.75%,45.16,2.38%,2.42%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.64,15.93,2.97%,45.22%,-7.76%,May 08 BMO,3.08M,15.37,-3.98%,3.18%,-18.85%,"

","1,975,992",-3.52%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,16.31,0.58,1.74%,116.03M,0.74%,1.10B,9.70,0.98,2.96%,113.39M,13.03%,68.54M,0.40,0.23,93.56%,5.00%,-9.83%,1.72B,0.64,118.67%,-5.15%,4.46,-16.32%,12.93,0.74,0.00%,3.19%,5.67M,-54.87%,1.56,6.11,40.76%,4.91%,6.70,24.50,-23.50%,-,31.36,-,4.07%,-61.06%,1.19,-,1.74,24.18%,12.85%,42.49%,0.45,"Aug 29, 2017",2.11,429.11%,7.56%,63.05,1.42%,3.06%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,0.63,9.53,12.59%,-16.26%,1.93%,Apr 30 BMO,1.27M,9.54,9.29%,13.73%,-23.08%,"

","806,045",0.10%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,36.86,3.25,2.94%,118.00M,-3.03%,14.11B,25.54,4.69,0.05%,114.34M,-6.49%,390.00M,2.97,1.01,105.30%,8.15%,9.80%,8.01B,1.76,-3.83%,26.07%,5.00,-24.27%,13.90,8.62,27.32%,5.04%,9.32M,16.32%,1.80,66.57,12.42%,26.24%,85.06,161.00,-8.66%,-,121.66,-2.04%,7.02%,-25.60%,1.97,-,1.02,-13.48%,11.29%,40.83%,4.02,-,1.02,60.91%,8.67%,53.43,2.01%,1.86%,23100,2.51,1.94%,4.87%,1.57,127.87,Yes / Yes,2.39,2.99%,0.00%,0.40,122.56,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.87M,119.79,0.83%,7.84%,-2.82%,"

","743,040",-2.26%,XPO
