Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,-0.48%,16.92B,30.76,2.25,-0.14%,49.87M,2.72%,-81.00M,-,0.42,18.02%,2.37%,0.85%,2.31B,7.34,19.77%,8.91%,2.29,-12.32%,19.70,3.51,35.85%,-1.29%,1.18M,65.50%,6.56,10.53,32.14%,-1.72%,40.30,86.58,-2.50%,-,54.24,20.21%,-1.68%,-20.21%,2.12,-,2.46,-4.00%,76.44%,71.41%,1.85,-,2.46,49.24%,-6.94%,55.46,1.62%,1.50%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.71,70.64,1.51%,11.72%,13.04%,May 07 AMC,514.85K,69.08,2.18%,4.90%,1.04%,"

","364,309",-2.21%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-12.58%,2.86B,13.98,0.87,0.00%,186.36M,-16.66%,-51.80M,-,0.13,63.65%,10.65%,-13.02%,1.08B,2.66,9.47%,4.30%,4.44,-43.34%,2.87,4.24,35.63%,-6.33%,19.86M,-26.30%,1.55,7.86,20.44%,-11.93%,10.69,38.20,-32.41%,-,23.60,-5.22%,-5.88%,-68.17%,1.24,-,3.33,26.86%,54.78%,13.75%,0.60,-,3.33,73.68%,-3.42%,36.55,1.53%,2.27%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,1.06,12.73,4.02%,-13.02%,35.64%,May 01 AMC,4.47M,12.16,-8.42%,-6.33%,-39.52%,"

","4,726,229",-4.48%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.24,1.60,2.31%,42.23M,-7.57%,1.30B,4.33,7.11,0.73%,41.12M,-7.98%,76.66M,4.30,1.19,106.73%,8.78%,-23.53%,1.42B,0.91,2.61%,-4.24%,6.01,-47.59%,43.13,0.71,4.72%,2.12%,3.61M,-44.41%,10.24,3.01,4.47%,4.12%,29.15,60.62,-43.36%,-,5.60,-20.26%,2.85%,-49.22%,1.62,-,1.52,0.43%,71.81%,5.61%,1.40,"May 17, 2019",1.52,36.80%,15.50%,40.68,3.31%,2.67%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.93,32.36,1.84%,-8.51%,4.50%,May 08 AMC,600.61K,30.78,-4.75%,-3.98%,-32.24%,"

","558,561",-4.88%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,26.81,10.58,0.80%,51.14M,-3.98%,14.42B,17.23,16.46,0.80%,50.45M,-5.23%,549.00M,2.57,3.30,91.55%,1.63%,1.66%,5.09B,2.83,7.37%,2.02%,1.32,-29.41%,70.91,4.00,13.41%,7.24%,0.82M,-5.90%,17.28,16.41,10.45%,16.16%,205.73,427.76,-26.57%,-,14.41,0.42%,9.33%,-33.70%,1.75,-,1.02,2.27%,46.59%,37.86%,7.93,-,1.45,109.89%,15.19%,47.84,1.69%,1.68%,9900,0.65,16.72%,10.78%,2.00,319.07,Yes / Yes,0.62,18.23%,0.00%,0.49,292.68,1.39%,11.14%,10.65%,Apr 29 BMO,627.03K,283.61,-2.99%,6.86%,-15.94%,"

","309,536",-3.10%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.23,4.51,0.14%,197.90M,-1.19%,18.06B,10.98,8.32,-0.87%,197.57M,-4.25%,913.30M,4.79,1.98,94.98%,2.79%,-17.00%,7.70B,2.35,-0.35%,1.59%,2.43,-15.79%,62.63,1.46,4.31%,4.19%,5.51M,-16.43%,7.00,13.04,4.22%,7.31%,89.22,116.71,-13.59%,0.89 (0.98%),14.53,-4.13%,4.81%,-21.79%,0.73,0.96 (1.05%),1.46,-0.77%,62.31%,2.31%,2.17,"Jun 26, 2025",2.44,-2.39%,18.72%,40.34,1.87%,1.34%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,0.60,93.26,0.73%,2.22%,1.05%,May 05 BMO,2.27M,91.28,-1.97%,-5.99%,-12.94%,"

","1,370,283",-2.12%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,0.11%,16.92B,31.30,2.25,-0.34%,162.81M,3.09%,-81.00M,-,0.42,68.65%,8.56%,-0.30%,2.31B,7.34,20.54%,9.09%,5.27,-14.20%,19.70,3.57,35.14%,-1.29%,13.93M,64.38%,6.68,10.53,32.56%,-1.72%,41.67,89.39,-4.97%,-,54.24,20.21%,-1.68%,-21.28%,2.13,-,2.46,-4.00%,76.44%,68.87%,1.91,"Jan 12, 2011",2.46,49.24%,-6.94%,56.22,1.63%,1.54%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.65,71.77,1.50%,10.87%,13.04%,May 07 AMC,2.64M,70.37,2.60%,5.17%,-0.11%,"

","1,707,576",-1.95%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.25,2.39,3.59%,375.00M,1.14%,16.27B,15.09,2.89,-0.34%,359.93M,-7.12%,916.00M,1.62,0.58,89.45%,2.36%,-15.07%,11.33B,1.44,8.61%,5.21%,2.77,-11.21%,15.42,2.82,13.59%,8.22%,8.48M,27.03%,5.34,8.17,11.29%,15.73%,28.50,53.99,-9.55%,0.87 (1.99%),20.94,4.31%,12.04%,-19.30%,0.27,0.80 (1.84%),1.11,5.19%,16.94%,52.88%,1.13,"May 28, 2025",1.26,19.36%,11.95%,46.23,1.56%,1.59%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.52,44.65,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.07M,43.57,-0.34%,-2.16%,-4.34%,"

","1,582,115",-2.42%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.71,5.02,0.15%,278.00M,-0.57%,40.03B,21.40,6.73,-19.70%,277.54M,-0.80%,1.43B,2.47,1.46,84.61%,1.52%,-7.13%,7.74B,5.17,12.06%,-1.40%,1.97,4.18%,-28.07,-,11.38%,22.12%,4.21M,5.10%,2.69,53.51,11.63%,-,122.13,163.30,7.33%,2.84 (1.98%),27.59,4.75%,32.45%,-11.82%,0.73,2.76 (1.92%),1.40,6.17%,46.80%,17.91%,2.49,"May 27, 2025",1.40,-11.50%,31.12%,45.45,0.40%,0.78%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.55,143.97,-3.55%,0.94%,11.83%,Apr 30 BMO,2.14M,144.00,-0.62%,-1.38%,2.36%,"

","1,180,158",0.02%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.42,4.31,0.04%,393.26M,5.89%,14.27B,8.48,4.28,0.00%,393.12M,0.14%,1.67B,-,0.72,9.10%,1.66%,1.43%,19.64B,0.73,-55.43%,-9.60%,3.06,-10.73%,30.14,1.20,60.40%,5.92%,6.54M,79.03%,3.13,11.60,-2.06%,15.54%,16.18,47.43,-14.63%,-,-,-,8.53%,-23.49%,1.84,-,0.59,7.05%,25.22%,124.29%,1.55,"Jul 09, 2019",0.79,156.14%,7.55%,57.45,3.77%,2.49%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,1.23,36.21,-0.71%,-105.27%,7.42%,May 08 BMO,2.14M,36.29,1.77%,9.44%,8.70%,"

","2,640,355",0.22%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.09,1.86,8.83%,92.94M,-6.76%,3.25B,17.15,1.42,-14.72%,84.73M,-3.25%,176.28M,-,0.30,104.31%,25.01%,-0.49%,802.81M,4.04,-30.59%,-2.21%,10.68,-11.26%,1.25,19.57,13.90%,16.56%,21.19M,37.30%,3.98,6.13,-4.45%,124.77%,17.39,38.47,-7.43%,0.50 (2.05%),10.92,-,76.56%,-36.57%,1.22,0.47 (1.94%),0.85,32.00%,59.68%,40.27%,0.80,"Jun 10, 2025",0.85,223.84%,17.05%,41.76,1.55%,2.11%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.60,25.39,1.98%,11.26%,18.05%,May 08 BMO,1.98M,24.40,-3.09%,-3.65%,-10.42%,"

","1,186,402",-3.90%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.11,0.50,5.31%,939.30M,-1.15%,11.26B,14.52,0.83,0.00%,889.44M,-6.03%,520.12M,0.68,0.16,63.87%,2.46%,-7.13%,1.62B,6.96,64.73%,0.96%,2.51,0.59%,5.04,2.38,22.46%,9.19%,21.88M,35.94%,2.98,4.02,35.63%,10.30%,6.66,13.85,10.81%,0.14 (1.20%),-,-,9.86%,-13.40%,0.21,0.10 (0.80%),7.66,34.26%,59.12%,80.03%,0.49,"Apr 07, 2025",7.66,57.72%,28.33%,50.13,3.01%,2.85%,7185,0.00,28.87%,32.16%,1.38,15.55,Yes / Yes,0.00,115.27%,20.00%,0.45,12.50,-14.04%,-55.04%,17.56%,May 21 BMO,8.72M,11.99,0.04%,4.01%,12.49%,"

","3,908,027",-4.08%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.50%,123.47M,-8.56%,993.87M,14.25,0.57,-0.92%,99.78M,18.20%,-23.36M,-,0.12,66.03%,2.21%,32.90%,434.45M,2.29,43.57%,-6.30%,2.29,15.01%,1.15,7.06,13.43%,-4.43%,2.21M,61.43%,1.08,7.53,25.39%,-15.69%,4.69,9.15,27.67%,-,21.12,27.34%,-10.82%,-11.26%,1.01,-,0.69,7.09%,76.19%,73.13%,0.36,-,0.69,-278.88%,1.68%,62.44,1.11%,6.43%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,1.03,8.33,1.75%,6.67%,14.06%,Jun 03 AMC,963.82K,8.12,8.35%,19.64%,20.23%,"

","994,370",-2.52%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,14.47,2.07,1.00%,82.79M,-4.97%,2.48B,11.91,2.52,0.00%,81.99M,-4.37%,176.44M,13.04,0.54,106.15%,9.08%,-6.75%,1.84B,1.35,-26.69%,-1.00%,3.10,-31.62%,9.23,3.25,25.83%,14.97%,7.44M,-29.64%,3.13,9.59,1.11%,25.01%,26.61,45.25,-22.10%,-,10.15,28.53%,19.18%,-33.70%,1.86,-,1.47,14.90%,58.18%,12.74%,1.21,-,2.58,3.69%,13.11%,44.90,2.51%,2.41%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.66,31.45,1.18%,15.28%,2.85%,May 08 BMO,2.40M,30.00,-3.18%,0.69%,-16.79%,"

","1,578,699",-4.61%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.03,2.08,3.11%,64.74M,-4.30%,2.26B,13.37,2.65,-8.81%,61.86M,-13.49%,143.09M,1.00,0.52,96.59%,6.53%,1.06%,1.44B,1.57,14.57%,-2.43%,4.78,-12.20%,11.24,3.15,22.98%,14.46%,4.04M,-4.35%,5.24,6.76,17.05%,19.74%,32.28,41.72,-8.50%,-,8.37,29.12%,19.12%,-15.12%,1.02,-,2.89,6.84%,87.90%,9.68%,0.91,-,2.89,29.17%,12.35%,37.05,1.12%,1.32%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,0.91,35.82,1.54%,11.11%,7.75%,May 08 AMC,844.52K,35.41,-5.78%,-2.63%,-3.07%,"

","767,101",-1.14%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.11,0.77,-,133.34M,-9.32%,830.71M,7.37,0.84,-,131.47M,-20.64%,141.18M,-,-,7.99%,1.06%,33.12%,344.82M,2.41,7.43%,5.01%,1.11,40.63%,4.46,1.40,6.29%,18.90%,1.39M,33.98%,5.18,1.20,-,21.03%,3.71,8.29,53.45%,-,-,27.89%,19.10%,-24.85%,0.81,-,6.80,39.86%,64.88%,67.92%,0.40,-,8.16,9.72%,35.80%,35.28,4.08%,3.40%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,1.15,6.73,2.55%,-,6.53%,May 19 AMC,1.25M,6.23,-11.97%,-9.45%,26.08%,"

","1,438,328",-7.43%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,14.98,4.11,12.90%,556.83M,-5.26%,37.87B,16.97,3.63,-0.14%,536.11M,5.25%,2.61B,1.49,0.67,63.68%,3.51%,7.60%,23.94B,1.58,-19.92%,-12.78%,1.89,-34.53%,34.80,1.77,34.45%,7.26%,18.82M,-4.04%,13.21,4.66,10.03%,12.93%,44.27,99.26,-27.56%,-,31.62,41.45%,9.52%,-37.97%,2.74,-,2.26,38.62%,37.35%,39.08%,2.25,-,2.27,425.38%,8.39%,52.66,1.51%,2.36%,11372,0.28,4.60%,10.92%,1.85,66.93,Yes / Yes,0.28,-59.33%,0.00%,0.71,63.85,-6.70%,-42.53%,-3.11%,May 01 AMC,9.96M,61.57,0.01%,8.18%,-13.63%,"

","7,025,356",-3.57%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,33.76,3.72,0.64%,243.40M,-0.93%,30.54B,24.27,5.17,-1.03%,241.79M,0.04%,906.00M,3.24,1.15,95.31%,1.20%,2.23%,8.60B,3.55,8.66%,1.59%,1.70,-2.39%,44.44,2.82,11.44%,5.58%,2.91M,-9.40%,4.35,28.84,10.41%,8.62%,100.47,143.50,8.17%,1.43 (1.14%),34.35,10.55%,7.08%,-12.54%,1.12,1.52 (1.21%),1.41,10.25%,37.52%,24.91%,2.08,"May 29, 2025",1.89,32.64%,12.81%,51.29,1.02%,0.84%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.50,127.30,1.41%,7.86%,1.62%,Apr 29 BMO,1.71M,125.50,-0.81%,4.58%,0.60%,"

","851,584",-1.41%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,-1.94%,3.11B,7.63,2.05,1.01%,197.77M,-4.98%,-908.00M,-,0.50,102.43%,4.52%,0.45%,3.72B,0.84,13.38%,1.02%,2.85,-20.05%,10.09,1.55,8.18%,-13.79%,8.94M,-42.03%,2.00,7.83,10.51%,-34.47%,12.16,27.95,-17.65%,0.67 (4.29%),11.20,-,-24.60%,-44.08%,0.97,0.64 (4.09%),0.76,-1.20%,51.84%,28.54%,0.53,"Jun 27, 2025",1.10,-921.99%,6.75%,48.07,1.57%,2.27%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.45,16.01,2.97%,45.22%,-7.76%,May 08 BMO,3.13M,15.63,-2.97%,5.51%,-17.88%,"

","1,408,937",-2.37%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,16.33,0.58,1.74%,116.03M,8.52%,1.10B,9.71,0.98,2.96%,113.39M,11.83%,68.54M,0.40,0.23,93.56%,5.00%,-10.50%,1.72B,0.64,118.67%,-5.15%,4.45,-20.55%,12.93,0.74,0.00%,3.19%,5.67M,-55.16%,1.56,6.12,40.76%,4.91%,6.70,24.50,-23.42%,-,31.40,-,4.07%,-61.02%,1.19,-,1.74,24.18%,12.85%,42.64%,0.46,"Aug 29, 2017",2.11,429.11%,7.56%,63.34,3.80%,3.12%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,0.69,9.51,12.59%,-16.26%,1.93%,Apr 30 BMO,1.27M,9.55,10.90%,14.51%,-23.65%,"

","876,460",0.42%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,37.06,3.25,2.94%,118.00M,1.67%,14.19B,25.68,4.69,0.05%,114.34M,-5.69%,390.00M,2.98,1.01,105.30%,8.15%,12.32%,8.01B,1.77,-3.83%,26.07%,4.97,-22.15%,13.90,8.67,27.32%,5.04%,9.32M,12.53%,1.80,66.93,12.42%,26.24%,85.06,161.00,-8.16%,-,122.33,-2.04%,7.02%,-25.19%,1.97,-,1.02,-13.48%,11.29%,41.61%,4.11,-,1.02,60.91%,8.67%,55.49,2.61%,1.85%,23100,2.51,1.94%,4.87%,1.57,127.87,Yes / Yes,2.39,2.99%,0.00%,0.55,122.24,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.88M,120.45,0.90%,9.52%,-2.26%,"

","1,038,701",-1.46%,XPO
