Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,1.30%,17.12B,31.20,2.25,-0.14%,49.87M,-0.04%,-81.00M,-,0.42,18.01%,2.37%,0.20%,2.31B,7.43,19.77%,8.95%,2.26,-11.64%,19.70,3.56,35.85%,-1.29%,1.18M,68.51%,6.57,10.66,32.14%,-1.72%,40.30,86.58,-1.13%,-,54.89,20.21%,-1.68%,-19.09%,2.12,-,2.46,-4.00%,76.44%,73.82%,1.88,-,2.46,49.24%,-6.94%,61.66,0.83%,1.56%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.78,70.39,1.51%,11.72%,13.04%,May 07 AMC,522.62K,70.05,4.02%,6.43%,2.68%,"

","409,603",-0.48%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-2.65%,3.03B,14.78,0.87,0.00%,186.36M,-10.27%,-51.80M,-,0.13,63.65%,10.65%,-11.62%,1.08B,2.81,9.47%,4.31%,4.34,-50.92%,2.87,4.48,35.63%,-6.33%,19.86M,-23.19%,1.55,8.31,20.44%,-11.93%,10.69,38.20,-28.57%,-,24.94,-5.22%,-5.88%,-66.36%,1.25,-,3.33,26.86%,54.78%,20.21%,0.63,-,3.33,73.68%,-3.42%,43.27,2.35%,2.30%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,0.56,13.16,4.02%,-13.02%,35.64%,May 01 AMC,4.57M,12.85,-4.53%,-1.57%,-36.48%,"

","2,577,098",-2.36%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,21.15,1.60,2.31%,42.23M,3.52%,1.42B,4.76,7.11,0.73%,41.12M,-2.48%,76.66M,4.73,1.19,106.78%,8.78%,-15.51%,1.42B,1.01,2.61%,-4.23%,5.93,-42.03%,43.13,0.78,4.72%,2.12%,3.61M,-40.13%,10.24,3.30,4.47%,4.12%,29.15,60.62,-37.73%,-,6.16,-20.26%,2.85%,-44.18%,1.62,-,1.52,0.43%,71.81%,16.11%,1.25,"May 17, 2019",1.52,36.80%,15.50%,56.61,1.47%,2.27%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.82,34.26,1.84%,-8.51%,4.50%,May 08 AMC,608.91K,33.84,4.19%,4.70%,-25.75%,"

","502,004",-1.23%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.68,10.58,0.80%,51.14M,0.62%,14.89B,17.82,16.43,0.80%,50.45M,-2.43%,549.00M,2.65,3.30,91.57%,1.63%,4.89%,5.09B,2.92,7.58%,0.33%,1.30,-28.46%,70.91,4.13,13.00%,7.24%,0.82M,-2.66%,17.28,16.94,10.45%,16.16%,205.73,427.76,-24.18%,-,14.88,0.42%,9.33%,-31.54%,1.75,-,1.02,2.27%,46.59%,42.33%,8.10,-,1.45,109.89%,15.19%,56.10,1.67%,1.55%,9900,0.65,16.72%,10.78%,1.95,321.27,Yes / Yes,0.62,18.23%,0.00%,0.60,299.56,1.39%,11.14%,10.65%,Apr 29 BMO,635.87K,292.82,-0.20%,10.38%,-13.37%,"

","383,944",-2.25%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.88,4.51,0.14%,197.90M,3.04%,18.65B,11.33,8.32,-0.52%,197.57M,-4.05%,913.30M,4.95,1.98,95.01%,2.79%,-9.41%,7.70B,2.42,-0.35%,1.29%,2.39,-12.76%,62.63,1.50,4.31%,4.19%,5.51M,-16.85%,7.00,13.47,4.22%,7.31%,89.22,116.71,-10.78%,0.89 (0.95%),15.00,-4.13%,4.81%,-19.25%,0.73,0.96 (1.02%),1.46,-0.77%,62.31%,5.63%,2.24,"Jun 26, 2025",2.44,-2.39%,18.72%,48.48,1.21%,1.39%,17000,0.58,3.30%,11.86%,2.47,106.64,Yes / Yes,0.53,9.01%,21.66%,0.53,94.92,0.73%,2.22%,1.05%,May 05 BMO,2.30M,94.24,0.80%,-3.74%,-10.31%,"

","1,217,497",-0.72%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,1.30%,17.11B,31.64,2.25,-0.34%,162.81M,-0.13%,-81.00M,-,0.42,68.66%,8.56%,-0.78%,2.31B,7.42,20.54%,9.07%,5.17,-13.50%,19.70,3.61,35.14%,-1.29%,13.93M,66.83%,6.68,10.65,32.56%,-1.72%,41.67,89.39,-3.96%,-,54.85,20.21%,-1.68%,-20.44%,2.13,-,2.46,-4.00%,76.44%,70.67%,1.95,"Jan 12, 2011",2.46,49.24%,-6.94%,61.12,0.99%,1.62%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.68,71.51,1.50%,10.87%,13.04%,May 07 AMC,2.69M,71.12,4.12%,6.32%,1.16%,"

","1,837,504",-0.55%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.81,2.39,3.59%,375.00M,4.76%,16.77B,15.56,2.89,-0.34%,359.93M,-2.60%,916.00M,1.67,0.58,89.50%,2.36%,-8.96%,11.33B,1.48,8.61%,4.97%,2.75,-7.46%,15.42,2.91,13.59%,8.22%,8.48M,27.66%,5.34,8.42,11.29%,15.73%,28.50,53.99,-6.77%,0.87 (1.93%),21.58,4.31%,12.04%,-16.82%,0.27,0.80 (1.78%),1.11,5.19%,16.94%,57.58%,1.16,"May 28, 2025",1.26,19.36%,11.95%,53.97,1.14%,1.94%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.70,44.77,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.08M,44.91,2.34%,0.04%,-1.17%,"

","2,149,327",0.31%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.59,5.02,0.15%,278.00M,-0.42%,39.86B,21.32,6.73,-19.70%,277.54M,-2.31%,1.43B,2.46,1.46,84.64%,1.52%,-7.12%,7.74B,5.15,12.06%,-1.92%,1.95,4.20%,-28.07,-,11.38%,22.12%,4.21M,2.46%,2.69,53.29,11.63%,-,122.13,163.30,6.89%,2.84 (1.98%),27.47,4.75%,32.45%,-12.18%,0.73,2.76 (1.92%),1.40,6.17%,46.80%,17.42%,2.50,"May 27, 2025",1.40,-11.50%,31.12%,43.18,1.10%,0.84%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.67,143.92,-3.55%,0.94%,11.83%,Apr 30 BMO,2.16M,143.41,-1.18%,-2.17%,2.01%,"

","1,454,201",-0.35%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.34,4.31,0.04%,393.26M,6.87%,14.13B,8.39,4.28,0.00%,393.12M,1.10%,1.67B,-,0.72,9.10%,1.66%,5.99%,19.64B,0.72,-55.43%,-8.60%,3.03,-7.59%,30.14,1.19,60.40%,5.92%,6.54M,79.42%,3.13,11.48,-2.06%,15.54%,16.18,47.43,-15.50%,-,-,-,8.53%,-24.27%,1.84,-,0.59,7.05%,25.22%,122.00%,1.56,"Jul 09, 2019",0.79,156.14%,7.55%,55.95,4.12%,2.51%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.85,36.29,-0.71%,-105.27%,7.42%,May 08 BMO,2.16M,35.92,0.81%,8.42%,8.08%,"

","1,822,602",-1.02%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.68,1.86,8.78%,92.94M,-1.24%,3.39B,17.92,1.42,-14.80%,84.79M,3.53%,176.28M,-,0.30,104.31%,25.00%,1.92%,802.81M,4.23,-30.59%,-2.23%,10.39,-4.80%,1.25,20.46,13.90%,16.56%,21.19M,40.83%,3.98,6.40,-4.45%,124.77%,17.39,38.47,-3.26%,0.50 (1.96%),11.41,-,76.56%,-33.72%,1.22,0.47 (1.85%),0.85,32.00%,59.68%,46.59%,0.79,"Jun 10, 2025",0.85,223.84%,17.05%,51.42,1.18%,1.98%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.48,25.96,1.98%,11.26%,18.05%,May 08 BMO,2.04M,25.50,1.26%,0.51%,-6.50%,"

","989,285",-1.77%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.35,0.50,5.31%,939.30M,0.92%,11.37B,14.66,0.83,0.00%,889.44M,-3.81%,520.12M,0.68,0.16,63.88%,2.46%,-4.57%,1.62B,7.03,65.05%,0.99%,2.48,12.55%,5.04,2.40,22.46%,9.19%,21.88M,38.40%,2.98,4.07,35.70%,10.30%,6.66,13.85,11.92%,0.14 (1.19%),-,-,9.86%,-12.53%,0.21,0.10 (0.79%),7.66,34.26%,59.12%,81.83%,0.46,"Apr 07, 2025",7.66,57.72%,28.33%,52.66,1.67%,2.64%,7185,0.00,28.87%,32.16%,1.38,15.55,Yes / Yes,0.00,115.27%,20.00%,0.85,12.23,-14.04%,-55.04%,17.56%,May 21 BMO,8.81M,12.11,0.73%,4.81%,14.13%,"

","7,447,906",-0.98%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.50%,123.47M,-6.47%,1.03B,14.72,0.57,-1.66%,99.76M,25.41%,-23.36M,-,0.12,64.86%,2.21%,36.64%,434.45M,2.36,43.57%,-6.35%,2.31,-1.41%,1.15,7.29,13.43%,-4.43%,2.21M,62.91%,1.08,7.78,25.39%,-15.69%,4.29,9.15,31.92%,-,21.83,27.34%,-10.82%,-8.31%,1.01,-,0.69,7.09%,76.19%,95.57%,0.38,-,0.69,-278.88%,1.68%,69.30,1.63%,6.37%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,1.29,8.65,1.75%,6.67%,14.06%,Jun 03 AMC,955.00K,8.39,14.00%,25.10%,24.78%,"

","1,230,881",-3.01%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,15.20,2.07,1.00%,82.79M,-0.82%,2.61B,12.51,2.52,-0.09%,81.99M,-0.63%,176.44M,13.69,0.54,106.16%,9.08%,-5.06%,1.84B,1.42,-26.69%,3.88%,3.11,-25.75%,9.23,3.41,25.83%,14.97%,7.44M,-26.77%,3.13,10.07,1.11%,25.01%,26.61,45.25,-18.18%,-,10.67,28.53%,19.18%,-30.36%,1.87,-,1.47,14.90%,58.18%,18.41%,1.22,-,2.58,3.69%,13.11%,53.96,2.20%,2.26%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.90,32.48,1.18%,15.28%,2.85%,May 08 BMO,2.39M,31.51,1.35%,5.27%,-12.85%,"

","2,154,886",-2.99%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.56,2.08,3.11%,64.74M,-2.51%,2.33B,13.78,2.65,-8.81%,61.86M,-9.40%,143.09M,1.03,0.52,96.61%,6.53%,4.67%,1.44B,1.62,14.57%,-2.43%,4.83,-5.90%,11.24,3.25,22.98%,14.46%,4.04M,-0.57%,5.24,6.97,17.05%,19.74%,32.28,41.72,-5.66%,-,8.63,29.12%,19.12%,-12.49%,1.02,-,2.89,6.84%,87.90%,13.09%,0.94,-,2.89,29.17%,12.35%,43.61,1.14%,1.47%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,1.33,37.20,1.54%,11.11%,7.75%,May 08 AMC,836.34K,36.51,-4.04%,0.10%,-0.04%,"

","1,114,456",-1.85%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.71,0.77,-,133.34M,-6.04%,892.04M,7.92,0.84,-,131.47M,-10.56%,141.18M,-,-,7.95%,1.06%,51.36%,344.82M,2.59,7.43%,5.01%,1.12,55.22%,4.46,1.50,6.29%,18.90%,1.39M,44.18%,5.18,1.29,-,21.03%,3.71,8.29,64.78%,-,-,27.89%,19.10%,-19.30%,0.81,-,6.80,39.86%,64.88%,80.32%,0.39,-,8.16,9.72%,35.80%,42.80,1.65%,3.04%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.48,6.88,2.55%,-,6.53%,May 19 AMC,1.24M,6.69,-7.21%,-2.11%,36.07%,"

","591,374",-2.76%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.58,4.11,12.90%,556.83M,0.31%,39.40B,17.66,3.63,-0.14%,535.71M,16.43%,2.61B,1.55,0.67,63.69%,3.51%,14.60%,23.94B,1.65,-20.09%,3.29%,1.86,-34.80%,34.80,1.84,34.74%,7.26%,18.82M,-1.60%,13.21,4.85,10.03%,12.93%,44.27,99.26,-24.63%,-,32.90,41.45%,9.52%,-35.46%,2.74,-,2.26,38.62%,37.35%,44.70%,2.25,-,2.27,425.38%,8.39%,61.69,1.92%,2.27%,11372,0.28,4.60%,10.92%,1.85,66.36,Yes / Yes,0.28,-59.33%,0.00%,0.63,64.48,-6.70%,-42.53%,-3.11%,May 01 AMC,10.10M,64.06,4.90%,13.04%,-10.17%,"

","6,401,947",-0.65%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,34.17,3.72,0.64%,243.40M,0.23%,30.91B,24.59,5.17,-1.03%,241.79M,-0.18%,906.00M,3.28,1.14,95.35%,1.20%,3.39%,8.60B,3.60,8.51%,0.96%,1.68,0.51%,44.44,2.86,11.50%,5.58%,2.91M,-7.50%,4.35,29.19,10.41%,8.62%,100.47,143.50,9.48%,1.42 (1.12%),34.77,10.55%,7.08%,-11.48%,1.12,1.52 (1.20%),1.41,10.25%,37.52%,26.42%,2.08,"May 29, 2025",1.89,32.64%,12.81%,57.79,0.88%,0.84%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.42,128.49,1.41%,7.86%,1.62%,Apr 29 BMO,1.73M,127.02,0.42%,6.10%,1.74%,"

","728,372",-1.14%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,0.06%,3.21B,7.86,2.05,1.01%,197.77M,-3.82%,-908.00M,-,0.50,102.43%,4.52%,5.09%,3.72B,0.86,13.38%,0.91%,2.84,-15.57%,10.09,1.60,8.18%,-13.79%,8.94M,-41.82%,2.00,8.07,10.51%,-34.47%,12.16,27.95,-15.12%,0.67 (4.16%),11.55,-,-24.60%,-42.36%,0.97,0.64 (3.97%),0.76,-1.20%,51.84%,32.48%,0.54,"Jun 27, 2025",1.10,-921.99%,6.75%,54.51,1.58%,2.22%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,1.04,16.41,2.97%,45.22%,-7.76%,May 08 BMO,3.15M,16.11,-0.40%,9.06%,-15.78%,"

","3,268,764",-1.83%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,16.70,0.58,1.74%,116.03M,13.87%,1.13B,9.93,0.98,2.96%,113.39M,12.82%,68.54M,0.41,0.23,93.56%,5.00%,-9.95%,1.72B,0.66,118.67%,-5.02%,4.42,-17.83%,12.93,0.76,0.00%,3.19%,5.67M,-51.94%,1.56,6.26,40.76%,4.91%,6.70,24.50,-21.65%,-,32.12,-,4.07%,-60.12%,1.19,-,1.74,24.18%,12.85%,45.93%,0.45,"Aug 29, 2017",2.11,429.11%,7.56%,68.05,2.09%,3.18%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,1.18,9.47,12.59%,-16.26%,1.93%,Apr 30 BMO,1.28M,9.77,14.95%,16.90%,-22.57%,"

","1,515,305",3.17%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,37.10,3.25,2.94%,118.00M,4.92%,14.21B,25.71,4.69,0.05%,114.34M,-4.68%,390.00M,2.99,1.01,105.29%,8.15%,10.59%,8.01B,1.77,-3.83%,23.16%,4.89,-20.47%,13.90,8.68,27.32%,5.04%,9.32M,10.13%,1.80,67.01,12.42%,26.24%,85.06,161.00,-8.05%,-,122.47,-2.04%,7.02%,-25.10%,1.97,-,1.02,-13.48%,11.29%,41.77%,4.21,-,1.02,60.91%,8.67%,56.58,2.38%,1.85%,23100,2.51,1.94%,4.87%,1.57,127.87,Yes / Yes,2.39,2.99%,0.00%,0.61,123.53,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.91M,120.59,0.57%,10.09%,-2.16%,"

","1,157,466",-2.38%,XPO
