Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,-5.69%,16.39B,29.73,2.24,-0.14%,49.87M,0.44%,15.47B,-,0.42,18.02%,2.37%,-3.83%,-81.00M,7.11,19.73%,8.86%,2.34,-15.09%,2.31B,3.38,35.63%,-1.29%,1.18M,-5.97%,19.70,10.20,32.14%,-1.72%,40.30,86.58,46.29%,6.53,52.54,39.04% 20.21%,-1.68%,-23.05%,120.45%,-,132.24,1.60% -4.00%,76.44%,65.31%,11.00%,-,6.71,49.24%,-6.94%,2.78%,1.57%,148.18%,-,2.46,14.96%,-3.51%,45.86,2.20,- -,2.46,131.84%,-1.62%,2.11,78.96,-,0.14,13.04%,0.74%,1.27,65.96,6856,0.02,May 07 AMC,-2.92%,504.52K,66.62,"Jul 20, 2011",Yes / Yes,11.72% 1.51%,"

","638,429",1.00%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,11.39%,3.34B,16.30,0.87,0.00%,186.36M,3.73%,3.18B,-,0.13,63.62%,10.65%,-1.66%,-51.80M,3.11,9.51%,4.25%,4.58,-34.14%,1.08B,4.95,35.61%,-6.33%,19.86M,-21.18%,2.87,9.17,20.44%,-11.93%,10.69,38.20,-11.76%,1.55,27.53,33.87% -5.22%,-5.88%,-62.88%,149.21%,-,136.81,29.95% 26.86%,54.78%,32.65%,-,-,2.96,73.68%,-3.42%,5.63%,3.56%,-,-,3.33,40.36%,-4.82%,60.03,1.40,- -,3.33,56.04%,7.86%,1.25,25.33,-,0.31,35.64%,8.71%,4.10,12.59,2191,0.30,May 01 AMC,-28.56%,4.34M,14.18,"Jun 10, 2021",Yes / Yes,-13.02% 4.02%,"

","17,801,772",12.63%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.65,1.60,2.31%,42.23M,-2.87%,1.32B,4.42,7.11,0.73%,41.12M,-3.97%,1.76B,4.40,1.19,106.55%,8.78%,-25.11%,76.66M,0.93,2.61%,-4.23%,6.19,-45.72%,1.42B,0.73,4.72%,2.12%,3.61M,-42.16%,43.13,3.07,4.47%,4.12%,29.15,60.62,-42.53%,10.24,5.72,-48.50% -20.26%,2.85%,-48.15%,-54.83%,-,4.00,-0.35% 0.43%,71.81%,7.84%,-51.26%,-,1.24,36.80%,15.50%,1.19%,2.36%,-46.26%,"May 17, 2019",1.52,3.24%,5.41%,44.57,2.00,- -,1.52,143.08%,-2.31%,1.62,42.57,0.00%,0.47,4.50%,-1.55%,1.32,31.72,3800,0.47,May 08 AMC,-30.31%,583.63K,31.43,"Jul 23, 1999",Yes / Yes,-8.51% 1.84%,"

","773,155",-0.91%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.79,10.58,0.80%,51.14M,0.46%,14.95B,17.86,16.46,0.80%,50.45M,-0.99%,16.44B,2.66,3.30,91.54%,1.63%,3.17%,549.00M,2.93,7.37%,1.47%,1.31,-27.74%,5.09B,4.15,13.41%,7.24%,0.82M,-23.87%,70.91,17.01,10.45%,16.16%,205.73,427.76,-2.76%,17.28,14.94,-13.14% 0.42%,9.33%,-31.26%,-2.23%,-,17.41,-4.07% 2.27%,46.59%,42.93%,13.35%,-,3.23,109.89%,15.19%,1.86%,1.74%,156.47%,-,1.02,16.72%,10.78%,55.57,2.00,- -,1.45,18.23%,0.84%,1.75,319.07,0.00%,0.65,10.65%,8.59%,1.24,291.73,9900,0.62,Apr 29 BMO,-12.58%,628.40K,294.04,"Aug 15, 1991",Yes / Yes,11.14% 1.39%,"

","776,730",0.79%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.22,4.51,0.14%,197.90M,-2.19%,18.05B,10.99,8.30,-1.16%,197.58M,-4.33%,23.85B,4.79,1.98,94.99%,2.79%,-18.39%,913.30M,2.34,-0.35%,1.28%,2.45,-14.63%,7.70B,1.46,4.09%,4.19%,5.51M,-13.64%,62.63,13.04,4.22%,7.31%,89.22,116.71,-14.77%,7.00,14.52,32.42% -4.13%,4.81%,-21.84%,-13.35%,0.89 (0.98%),9.72,3.99% -0.77%,62.31%,2.24%,-26.04%,0.96 (1.05%),3.10,-2.39%,18.72%,1.44%,1.31%,-16.19%,"Jun 26, 2025",1.46,3.30%,11.86%,42.38,2.50,0.00% 0.00%,2.44,9.01%,-1.15%,0.73,106.64,21.66%,0.58,1.05%,-4.81%,1.80,90.55,17000,0.53,May 05 BMO,-12.60%,2.25M,91.22,"Jul 25, 2001",Yes / Yes,2.22% 0.73%,"

","4,060,403",0.74%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,-4.92%,16.39B,30.42,2.24,-0.34%,162.82M,1.58%,15.47B,-,0.42,68.65%,8.55%,-3.81%,-81.00M,7.11,20.50%,9.10%,5.35,-16.41%,2.31B,3.46,34.91%,-1.29%,13.93M,-7.85%,19.70,10.20,32.56%,-1.72%,41.67,89.39,45.78%,6.69,52.54,39.04% 20.21%,-1.68%,-23.66%,126.04%,-,132.24,1.60% -4.00%,76.44%,63.76%,13.73%,-,6.71,49.24%,-6.94%,2.72%,1.56%,-,"Jan 12, 2011",2.46,14.96%,-3.51%,47.74,2.24,- -,2.46,131.84%,-0.82%,2.13,78.79,-,0.14,13.04%,1.55%,0.67,67.53,6856,0.02,May 07 AMC,-3.47%,2.60M,68.24,"Aug 03, 2015",Yes / Yes,10.87% 1.50%,"

","1,732,079",1.05%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,17.94,2.39,3.59%,375.00M,-4.08%,15.99B,14.83,2.89,-0.34%,359.93M,-2.66%,17.03B,1.59,0.58,89.45%,2.36%,-18.47%,916.00M,1.41,8.49%,5.01%,2.83,-12.29%,11.33B,2.78,13.75%,8.22%,8.48M,-11.09%,15.42,8.03,11.31%,15.73%,28.50,53.99,27.09%,5.34,20.58,-0.14% 4.31%,12.04%,-20.67%,5.86%,0.87 (2.03%),9.35,4.68% 5.19%,16.94%,50.28%,-9.89%,0.80 (1.87%),1.50,19.36%,11.95%,1.15%,1.48%,-,"May 28, 2025",1.11,2.79%,8.09%,42.72,1.27,10.06% 5.92%,1.26,8.47%,-1.66%,0.27,57.16,27.40%,0.41,0.78%,-3.05%,0.59,42.76,350000,0.32,Apr 30 BMO,-6.36%,2.99M,42.83,"Oct 17, 2016",Yes / Yes,-2.10% -3.58%,"

","1,770,456",0.16%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,27.73,5.02,0.15%,278.00M,-3.41%,38.65B,20.67,6.73,-19.69%,277.54M,-6.69%,50.13B,2.38,1.46,84.63%,1.52%,-11.93%,1.43B,5.00,12.07%,-1.33%,1.95,2.97%,7.74B,-,11.38%,22.12%,4.21M,3.65%,-28.07,51.68,11.63%,-,122.13,163.30,1.56%,2.69,26.64,-0.01% 4.75%,32.45%,-14.84%,26.15%,2.84 (2.05%),19.33,4.66% 6.17%,46.80%,13.86%,52.08%,2.76 (1.98%),6.48,-11.50%,31.12%,0.93%,0.77%,112.26%,"May 27, 2025",1.40,10.09%,18.42%,33.92,2.52,10.25% 9.79%,1.40,-18.28%,-2.90%,0.74,161.09,51.40%,-,11.83%,-4.29%,1.37,138.36,40000,-,Apr 30 BMO,-1.21%,2.16M,139.06,"Sep 12, 1997",Yes / Yes,0.94% -3.55%,"

","2,956,494",0.51%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.05,4.31,0.04%,393.26M,-4.23%,13.64B,7.88,4.40,0.00%,393.12M,-4.99%,22.89B,-,0.75,9.10%,1.66%,-2.39%,1.67B,0.69,-53.92%,-9.24%,3.09,-22.21%,19.64B,1.15,59.46%,5.92%,6.54M,-18.42%,30.14,11.09,-1.30%,15.54%,16.18,47.43,69.67%,3.13,-,843.02% -,8.53%,-26.88%,832.26%,-,4.94,14.06% 7.05%,25.22%,114.34%,498.96%,-,1.17,156.14%,7.55%,1.01%,2.45%,21.64%,"Jul 09, 2019",0.59,8.58%,8.49%,48.36,1.83,- -,0.79,-102.92%,-2.14%,1.84,45.33,0.00%,0.88,7.42%,3.23%,0.41,35.28,-,0.68,May 08 BMO,3.08%,2.12M,34.68,"Jun 29, 1993",Yes / Yes,-105.27% -0.71%,"

","867,925",-1.70%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.48,1.86,8.84%,92.94M,-0.98%,3.34B,17.67,1.42,-14.71%,84.73M,-0.12%,2.94B,-,0.30,104.31%,25.01%,-5.56%,176.28M,4.17,-30.59%,-2.19%,11.07,-2.13%,802.81M,20.17,13.90%,16.56%,21.19M,-4.63%,1.25,6.31,-4.45%,124.77%,18.04,38.47,38.69%,3.98,11.25,- -,76.56%,-34.65%,28.20%,0.50 (1.99%),17.97,44.77% 32.00%,59.68%,39.37%,-,0.47 (1.88%),3.67,223.84%,17.05%,0.97%,2.13%,-,"Jun 10, 2025",0.85,21.59%,21.96%,50.05,2.44,- -,0.85,29.71%,0.06%,1.22,29.25,26.62%,1.02,18.05%,-0.73%,1.61,24.62,4022,0.97,May 08 BMO,-7.38%,1.91M,25.14,"Jun 30, 2021",Yes / Yes,11.26% 1.98%,"

","3,089,230",2.11%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,23.45,0.50,5.31%,939.30M,-6.72%,10.95B,14.12,0.83,0.00%,889.44M,-3.56%,8.23B,0.66,0.16,63.89%,2.46%,-12.13%,520.12M,6.77,64.68%,0.95%,2.58,10.42%,1.62B,2.31,22.46%,9.19%,21.88M,7.76%,5.04,3.91,35.72%,10.30%,6.66,13.85,30.28%,2.98,-,- -,9.86%,-15.78%,50.84%,0.14 (1.24%),17.68,29.32% 34.26%,59.12%,75.08%,-,0.10 (0.82%),5.09,57.72%,28.33%,1.65%,2.90%,-,"Apr 07, 2025",7.66,28.87%,32.16%,45.52,1.38,- -,7.66,115.27%,-2.27%,0.20,15.59,20.00%,0.00,17.56%,0.63%,0.72,11.72,7185,0.00,May 21 BMO,8.44%,8.47M,11.66,"Jun 22, 2021",Yes / Yes,-55.04% -14.04%,"

","6,067,728",-0.51%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,14.19,2.07,1.00%,82.79M,-6.45%,2.44B,11.68,2.52,0.00%,81.99M,-6.04%,2.36B,12.79,0.54,106.22%,9.08%,-15.19%,176.44M,1.32,-25.91%,-1.14%,3.15,-31.98%,1.84B,3.19,24.53%,14.97%,7.44M,-23.60%,9.23,9.41,1.11%,25.01%,26.61,45.25,-28.38%,3.13,9.96,-5.11% 28.53%,19.18%,-34.98%,-30.55%,-,8.11,9.05% 14.90%,58.18%,10.56%,-17.98%,-,1.28,3.69%,13.11%,2.22%,2.26%,-,-,1.47,8.38%,9.59%,42.72,2.44,- -,2.58,9.29%,-4.13%,1.86,34.13,0.00%,0.24,2.85%,-1.44%,1.74,29.29,1340,0.20,May 08 BMO,-17.92%,2.36M,29.42,"Oct 25, 2018",Yes / Yes,15.28% 1.18%,"

","4,115,831",0.44%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,16.58,2.08,3.16%,64.74M,-3.74%,2.20B,12.84,2.69,-8.80%,61.83M,-10.65%,1.90B,0.84,0.51,96.59%,6.53%,-2.71%,143.09M,1.53,14.07%,-2.35%,4.73,-13.39%,1.44B,3.07,25.23%,14.46%,4.04M,-10.90%,11.24,6.58,19.73%,19.74%,32.28,41.72,-4.57%,5.24,8.15,55.06% 29.12%,19.12%,-17.35%,24.12%,-,8.08,11.02% 6.84%,87.90%,6.80%,41.31%,-,1.32,29.17%,12.35%,1.15%,1.35%,-21.71%,-,2.89,5.93%,9.95%,32.63,3.08,- -,2.89,84.94%,-6.50%,1.03,38.62,0.00%,0.05,7.75%,-5.25%,2.06,34.65,5116,0.03,May 08 AMC,-5.63%,853.76K,34.48,"Mar 02, 2012",Yes / Yes,11.11% 1.54%,"

","1,758,886",-0.49%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.20,0.77,-,133.34M,-6.39%,840.04M,7.46,0.84,-,131.47M,-15.32%,142.64M,-,-,7.99%,1.06%,24.26%,141.18M,2.44,7.43%,5.11%,1.12,43.51%,344.82M,1.41,6.29%,18.90%,1.39M,55.17%,4.46,1.22,-,21.03%,3.71,8.29,40.31%,5.18,-,10.08% 27.89%,19.10%,-24.00%,75.98%,-,-,7.54% 39.86%,64.88%,69.81%,-,-,0.41,9.72%,35.80%,2.34%,3.09%,-,-,6.80,6.40%,40.94%,38.30,1.67,- -,8.16,16.01%,-7.45%,0.82,8.10,0.00%,0.00,6.53%,-9.91%,0.54,6.36,815,0.00,May 19 AMC,26.30%,1.24M,6.30,"Sep 30, 2020",Yes / Yes,- 2.55%,"

","666,987",-0.94%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.47,4.11,12.83%,556.83M,-0.41%,39.11B,17.48,3.64,-0.14%,536.08M,10.90%,37.00B,1.53,0.67,63.67%,3.51%,4.25%,2.61B,1.63,-19.92%,0.78%,1.91,-32.19%,23.94B,1.83,34.76%,7.26%,18.82M,-25.18%,34.80,4.81,10.14%,12.93%,44.27,99.26,1.74%,13.21,32.66,139.66% 41.45%,9.52%,-35.94%,5.46%,-,15.57,10.95% 38.62%,37.35%,43.64%,-30.12%,-,1.55,425.38%,8.39%,3.17%,2.47%,-,-,2.26,4.60%,10.92%,56.59,1.87,- -,2.27,-59.33%,1.15%,2.74,66.27,0.00%,0.28,-3.11%,9.76%,0.70,63.09,11372,0.28,May 01 AMC,-10.74%,9.87M,63.59,"Nov 19, 2015",Yes / Yes,-42.53% -6.70%,"

","6,906,518",0.79%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,33.48,3.72,0.64%,243.40M,-2.23%,30.29B,24.07,5.17,-1.03%,242.91M,-2.01%,31.60B,3.22,1.15,95.20%,1.20%,3.86%,906.00M,3.52,8.66%,1.48%,1.74,3.05%,8.60B,2.80,11.44%,5.58%,2.91M,7.27%,44.44,28.60,10.41%,8.62%,100.47,143.50,-10.81%,4.35,34.07,15.82% 10.55%,7.08%,-13.27%,62.69%,1.43 (1.15%),18.88,18.10% 10.25%,37.52%,23.87%,92.90%,1.52 (1.22%),3.68,32.64%,12.81%,1.41%,0.93%,240.61%,"May 29, 2025",1.41,8.14%,10.54%,47.16,1.83,8.74% 8.45%,1.89,10.10%,-1.39%,1.12,143.40,39.40%,0.20,1.62%,2.35%,1.21,125.13,23000,0.18,Apr 29 BMO,-0.07%,1.67M,124.46,"Oct 13, 2011",Yes / Yes,7.86% 1.41%,"

","2,013,530",-0.54%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,-4.06%,3.06B,7.50,2.05,1.01%,197.77M,-8.08%,5.09B,-,0.50,102.42%,4.52%,-1.54%,-908.00M,0.82,13.38%,1.02%,2.93,-21.59%,3.72B,1.52,8.16%,-13.79%,8.94M,-19.07%,10.09,7.69,10.51%,-34.47%,12.16,27.95,-40.14%,2.00,11.01,- -,-24.60%,-45.04%,-56.84%,0.67 (4.36%),8.58,-3.58% -1.20%,51.84%,26.32%,-65.00%,0.64 (4.17%),1.37,-921.99%,6.75%,2.29%,2.11%,-70.52%,"Jun 27, 2025",0.76,-5.61%,-24.42%,45.09,2.50,14.17% 10.99%,1.10,15.99%,-3.51%,0.97,17.96,-,1.21,-7.76%,2.45%,0.96,15.40,14000,0.84,May 08 BMO,-18.47%,3.05M,15.36,"Aug 12, 1987",Yes / Yes,45.22% 2.97%,"

","2,919,839",-0.26%,XRAY
