Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,-5.69%,16.39B,29.73,2.24,-0.14%,49.87M,0.44%,-81.00M,-,0.42,18.02%,2.37%,-3.83%,2.31B,7.11,19.73%,8.86%,2.34,-15.09%,19.70,3.38,35.63%,-1.29%,1.18M,46.29%,6.53,10.20,32.14%,-1.72%,40.30,86.58,-5.97%,-,52.54,20.21%,-1.68%,-23.05%,2.11,-,2.46,-4.00%,76.44%,65.31%,1.90,-,2.46,49.24%,-6.94%,45.86,2.78%,1.57%,6856,0.14,14.96%,-3.51%,2.20,78.96,Yes / Yes,0.02,131.84%,-,1.27,65.96,1.51%,11.72%,13.04%,May 07 AMC,504.52K,66.62,-1.62%,0.74%,-2.92%,"

","638,429",1.00%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,11.39%,3.34B,16.31,0.87,0.00%,186.36M,3.73%,-51.80M,-,0.13,63.62%,10.65%,-1.66%,1.08B,3.11,9.47%,4.25%,4.58,-34.14%,2.87,4.95,35.63%,-6.33%,19.86M,-11.76%,1.55,9.17,20.44%,-11.93%,10.69,38.20,-21.18%,-,27.53,-5.22%,-5.88%,-62.88%,1.25,-,3.33,26.86%,54.78%,32.65%,0.70,-,3.33,73.68%,-3.42%,60.03,5.63%,3.56%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,4.10,12.59,4.02%,-13.02%,35.64%,May 01 AMC,4.34M,14.18,7.86%,8.71%,-28.56%,"

","17,801,772",12.63%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,19.65,1.60,2.31%,42.23M,-2.87%,1.32B,4.42,7.11,0.73%,41.12M,-3.97%,76.66M,4.40,1.19,106.55%,8.78%,-25.11%,1.42B,0.93,2.61%,-4.23%,6.19,-45.72%,43.13,0.73,4.72%,2.12%,3.61M,-42.53%,10.24,3.07,4.47%,4.12%,29.15,60.62,-42.16%,-,5.72,-20.26%,2.85%,-48.15%,1.62,-,1.52,0.43%,71.81%,7.84%,1.34,"May 17, 2019",1.52,36.80%,15.50%,44.57,1.19%,2.36%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,1.32,31.72,1.84%,-8.51%,4.50%,May 08 AMC,583.63K,31.43,-2.31%,-1.55%,-30.31%,"

","773,155",-0.91%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.79,10.58,0.80%,51.14M,0.46%,14.95B,17.86,16.46,0.80%,50.45M,-0.99%,549.00M,2.66,3.30,91.54%,1.63%,3.17%,5.09B,2.93,7.37%,1.47%,1.31,-27.74%,70.91,4.15,13.41%,7.24%,0.82M,-2.76%,17.28,17.01,10.45%,16.16%,205.73,427.76,-23.87%,-,14.94,0.42%,9.33%,-31.26%,1.75,-,1.02,2.27%,46.59%,42.93%,7.77,-,1.45,109.89%,15.19%,55.57,1.86%,1.74%,9900,0.65,16.72%,10.78%,2.00,319.07,Yes / Yes,0.62,18.23%,0.00%,1.24,291.73,1.39%,11.14%,10.65%,Apr 29 BMO,628.40K,294.04,0.84%,8.59%,-12.58%,"

","776,730",0.79%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.22,4.51,0.14%,197.90M,-2.19%,18.05B,10.99,8.30,-1.16%,197.58M,-4.33%,913.30M,4.79,1.98,94.99%,2.79%,-18.39%,7.70B,2.34,-0.35%,1.28%,2.45,-14.63%,62.63,1.46,4.09%,4.19%,5.51M,-14.77%,7.00,13.04,4.22%,7.31%,89.22,116.71,-13.64%,0.89 (0.98%),14.52,-4.13%,4.81%,-21.84%,0.73,0.96 (1.05%),1.46,-0.77%,62.31%,2.24%,2.02,"Jun 26, 2025",2.44,-2.39%,18.72%,42.38,1.44%,1.31%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,1.80,90.55,0.73%,2.22%,1.05%,May 05 BMO,2.25M,91.22,-1.15%,-4.81%,-12.60%,"

","4,060,403",0.74%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,-4.92%,16.39B,30.42,2.24,-0.34%,162.82M,1.58%,-81.00M,-,0.42,68.65%,8.55%,-3.81%,2.31B,7.11,20.50%,9.10%,5.35,-16.41%,19.70,3.46,34.91%,-1.29%,13.93M,45.78%,6.69,10.20,32.56%,-1.72%,41.67,89.39,-7.85%,-,52.54,20.21%,-1.68%,-23.66%,2.13,-,2.46,-4.00%,76.44%,63.76%,1.94,"Jan 12, 2011",2.46,49.24%,-6.94%,47.74,2.72%,1.56%,6856,0.14,14.96%,-3.51%,2.24,78.79,Yes / Yes,0.02,131.84%,-,0.67,67.53,1.50%,10.87%,13.04%,May 07 AMC,2.60M,68.24,-0.82%,1.55%,-3.47%,"

","1,732,079",1.05%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,17.94,2.39,3.59%,375.00M,-4.08%,15.99B,14.83,2.89,-0.34%,359.93M,-2.66%,916.00M,1.59,0.58,89.45%,2.36%,-18.47%,11.33B,1.41,8.49%,5.01%,2.83,-12.29%,15.42,2.78,13.75%,8.22%,8.48M,27.09%,5.34,8.03,11.31%,15.73%,28.50,53.99,-11.09%,0.87 (2.03%),20.58,4.31%,12.04%,-20.67%,0.27,0.80 (1.87%),1.11,5.19%,16.94%,50.28%,1.05,"May 28, 2025",1.26,19.36%,11.95%,42.72,1.15%,1.48%,350000,0.41,2.79%,8.09%,1.27,57.16,Yes / Yes,0.32,8.47%,27.40%,0.59,42.76,-3.58%,-2.10%,0.78%,Apr 30 BMO,2.99M,42.83,-1.66%,-3.05%,-6.36%,"

","1,770,456",0.16%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,27.73,5.02,0.15%,278.00M,-3.41%,38.65B,20.67,6.73,-19.69%,277.54M,-6.69%,1.43B,2.38,1.46,84.63%,1.52%,-11.93%,7.74B,5.00,12.06%,-1.33%,1.95,2.97%,-28.07,-,11.38%,22.12%,4.21M,1.56%,2.69,51.68,11.63%,-,122.13,163.30,3.65%,2.84 (2.05%),26.64,4.75%,32.45%,-14.84%,0.74,2.76 (1.98%),1.40,6.17%,46.80%,13.86%,2.50,"May 27, 2025",1.40,-11.50%,31.12%,33.92,0.93%,0.77%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,1.37,138.36,-3.55%,0.94%,11.83%,Apr 30 BMO,2.16M,139.06,-2.90%,-4.29%,-1.21%,"

","2,956,494",0.51%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.05,4.31,0.04%,393.26M,-4.23%,13.64B,7.88,4.40,0.00%,393.12M,-4.99%,1.67B,-,0.75,9.10%,1.66%,-2.39%,19.64B,0.69,-53.92%,-9.24%,3.09,-22.21%,30.14,1.15,59.46%,5.92%,6.54M,69.67%,3.13,11.09,-1.30%,15.54%,16.18,47.43,-18.42%,-,-,-,8.53%,-26.88%,1.84,-,0.59,7.05%,25.22%,114.34%,1.48,"Jul 09, 2019",0.79,156.14%,7.55%,48.36,1.01%,2.45%,-,0.88,8.58%,8.49%,1.83,45.33,Yes / Yes,0.68,-102.92%,0.00%,0.41,35.28,-0.71%,-105.27%,7.42%,May 08 BMO,2.12M,34.68,-2.14%,3.23%,3.08%,"

","867,925",-1.70%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.48,1.86,8.84%,92.94M,-0.98%,3.34B,17.67,1.42,-14.71%,84.73M,-0.12%,176.28M,-,0.30,104.31%,25.01%,-5.56%,802.81M,4.17,-30.59%,-2.19%,11.07,-2.13%,1.25,20.17,13.90%,16.56%,21.19M,38.69%,3.98,6.31,-4.45%,124.77%,18.04,38.47,-4.63%,0.50 (1.99%),11.25,-,76.56%,-34.65%,1.22,0.47 (1.88%),0.85,32.00%,59.68%,39.37%,0.78,"Jun 10, 2025",0.85,223.84%,17.05%,50.05,0.97%,2.13%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,1.61,24.62,1.98%,11.26%,18.05%,May 08 BMO,1.91M,25.14,0.06%,-0.73%,-7.38%,"

","3,089,230",2.11%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,23.45,0.50,5.31%,939.30M,-6.72%,10.95B,14.12,0.83,0.00%,889.44M,-3.56%,520.12M,0.66,0.16,63.89%,2.46%,-12.13%,1.62B,6.77,64.90%,0.95%,2.58,10.42%,5.04,2.31,22.46%,9.19%,21.88M,30.28%,2.98,3.91,35.78%,10.30%,6.66,13.85,7.76%,0.14 (1.24%),-,-,9.86%,-15.78%,0.20,0.10 (0.82%),7.66,34.26%,59.12%,75.08%,0.44,"Apr 07, 2025",7.66,57.72%,28.33%,45.52,1.65%,2.90%,7185,0.00,28.87%,32.16%,1.38,15.59,Yes / Yes,0.00,115.27%,20.00%,0.72,11.72,-14.04%,-55.04%,17.56%,May 21 BMO,8.47M,11.66,-2.27%,0.63%,8.44%,"

","6,067,728",-0.51%,YMM
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,14.19,2.07,1.00%,82.79M,-6.45%,2.44B,11.68,2.52,0.00%,81.99M,-6.04%,176.44M,12.79,0.54,106.22%,9.08%,-15.19%,1.84B,1.32,-25.91%,-1.14%,3.15,-31.98%,9.23,3.19,24.53%,14.97%,7.44M,-28.38%,3.13,9.41,1.11%,25.01%,26.61,45.25,-23.60%,-,9.96,28.53%,19.18%,-34.98%,1.86,-,1.47,14.90%,58.18%,10.56%,1.13,-,2.58,3.69%,13.11%,42.72,2.22%,2.26%,1340,0.24,8.38%,9.59%,2.44,34.13,Yes / Yes,0.20,9.29%,0.00%,1.74,29.29,1.18%,15.28%,2.85%,May 08 BMO,2.36M,29.42,-4.13%,-1.44%,-17.92%,"

","4,115,831",0.44%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,16.58,2.08,3.16%,64.74M,-3.74%,2.20B,12.84,2.69,-8.80%,61.83M,-10.65%,143.09M,0.84,0.51,96.59%,6.53%,-2.71%,1.44B,1.53,14.07%,-2.35%,4.73,-13.39%,11.24,3.07,25.23%,14.46%,4.04M,-4.57%,5.24,6.58,19.73%,19.74%,32.28,41.72,-10.90%,-,8.15,29.12%,19.12%,-17.35%,1.03,-,2.89,6.84%,87.90%,6.80%,0.90,-,2.89,29.17%,12.35%,32.63,1.15%,1.35%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,2.06,34.65,1.54%,11.11%,7.75%,May 08 AMC,853.76K,34.48,-6.50%,-5.25%,-5.63%,"

","1,758,886",-0.49%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.20,0.77,-,133.34M,-6.39%,840.04M,7.46,0.84,-,131.47M,-15.32%,141.18M,-,-,7.99%,1.06%,24.26%,344.82M,2.44,7.43%,5.11%,1.12,43.51%,4.46,1.41,6.29%,18.90%,1.39M,40.31%,5.18,1.22,-,21.03%,3.71,8.29,55.17%,-,-,27.89%,19.10%,-24.00%,0.82,-,6.80,39.86%,64.88%,69.81%,0.36,-,8.16,9.72%,35.80%,38.30,2.34%,3.09%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.54,6.36,2.55%,-,6.53%,May 19 AMC,1.24M,6.30,-7.45%,-9.91%,26.30%,"

","666,987",-0.94%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.47,4.11,12.83%,556.83M,-0.41%,39.11B,17.48,3.64,-0.14%,536.08M,10.90%,2.61B,1.53,0.67,63.67%,3.51%,4.25%,23.94B,1.63,-19.92%,0.78%,1.91,-32.19%,34.80,1.83,34.76%,7.26%,18.82M,1.74%,13.21,4.81,10.14%,12.93%,44.27,99.26,-25.18%,-,32.66,41.45%,9.52%,-35.94%,2.74,-,2.26,38.62%,37.35%,43.64%,2.25,-,2.27,425.38%,8.39%,56.59,3.17%,2.47%,11372,0.28,4.60%,10.92%,1.87,66.27,Yes / Yes,0.28,-59.33%,0.00%,0.70,63.09,-6.70%,-42.53%,-3.11%,May 01 AMC,9.87M,63.59,1.15%,9.76%,-10.74%,"

","6,906,518",0.79%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,33.48,3.72,0.64%,243.40M,-2.23%,30.29B,24.07,5.17,-1.03%,242.91M,-2.01%,906.00M,3.22,1.15,95.20%,1.20%,3.86%,8.60B,3.52,8.66%,1.48%,1.74,3.05%,44.44,2.80,11.44%,5.58%,2.91M,-10.81%,4.35,28.60,10.41%,8.62%,100.47,143.50,7.27%,1.43 (1.15%),34.07,10.55%,7.08%,-13.27%,1.12,1.52 (1.22%),1.41,10.25%,37.52%,23.87%,2.05,"May 29, 2025",1.89,32.64%,12.81%,47.16,1.41%,0.93%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,1.21,125.13,1.41%,7.86%,1.62%,Apr 29 BMO,1.67M,124.46,-1.39%,2.35%,-0.07%,"

","2,013,530",-0.54%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,-4.06%,3.06B,7.50,2.05,1.01%,197.77M,-8.08%,-908.00M,-,0.50,102.42%,4.52%,-1.54%,3.72B,0.82,13.38%,1.02%,2.93,-21.59%,10.09,1.52,8.18%,-13.79%,8.94M,-40.14%,2.00,7.69,10.51%,-34.47%,12.16,27.95,-19.07%,0.67 (4.36%),11.01,-,-24.60%,-45.04%,0.97,0.64 (4.17%),0.76,-1.20%,51.84%,26.32%,0.50,"Jun 27, 2025",1.10,-921.99%,6.75%,45.09,2.29%,2.11%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.96,15.40,2.97%,45.22%,-7.76%,May 08 BMO,3.05M,15.36,-3.51%,2.45%,-18.47%,"

","2,919,839",-0.26%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,15.68,0.58,1.74%,116.03M,-3.58%,1.06B,9.32,0.98,-0.27%,113.39M,11.69%,68.54M,0.38,0.23,93.56%,5.00%,-13.98%,1.72B,0.62,118.67%,-5.30%,4.45,-17.01%,12.93,0.71,0.00%,3.19%,5.67M,-56.64%,1.56,5.87,40.76%,4.91%,6.70,24.50,-26.46%,-,30.15,-,4.07%,-62.57%,1.18,-,1.74,24.18%,12.85%,36.97%,0.45,"Aug 29, 2017",2.11,429.11%,7.56%,54.41,2.40%,2.94%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,1.10,9.60,12.59%,-16.26%,1.93%,Apr 30 BMO,1.28M,9.17,3.40%,8.28%,-25.43%,"

","1,397,727",-4.48%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,36.88,3.25,2.94%,118.00M,-1.96%,14.12B,25.56,4.69,0.05%,114.34M,-3.69%,390.00M,2.97,1.01,105.30%,8.15%,11.01%,8.01B,1.76,-3.83%,23.18%,5.03,-24.24%,13.90,8.62,27.32%,5.04%,9.32M,14.21%,1.80,66.60,12.42%,26.24%,85.06,161.00,-8.62%,-,121.72,-2.04%,7.02%,-25.56%,1.97,-,1.02,-13.48%,11.29%,40.90%,4.11,-,1.02,60.91%,8.67%,53.25,1.74%,1.73%,23100,2.51,1.94%,4.87%,1.57,127.87,Yes / Yes,2.39,2.99%,0.00%,0.64,120.62,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.85M,119.85,1.08%,6.80%,-2.81%,"

","1,194,021",-0.64%,XPO
XPeng Inc ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-0.75,2.73%,775.87M,-4.78%,14.21B,100.76,0.18,0.00%,755.00M,-7.01%,-705.84M,-,-0.13,14.82%,3.90%,-17.04%,6.94B,2.05,78.02%,12.18%,3.24,47.78%,4.46,4.11,197.10%,-6.06%,29.43M,150.14%,6.80,2.69,-,-15.52%,6.60,27.16,54.91%,-,-,-1.37%,-12.22%,-32.58%,2.57,-,1.07,76.03%,14.88%,177.42%,0.79,-,1.21,49.81%,-14.08%,41.41,1.76%,3.37%,15364,0.58,50.45%,-10.17%,1.51,21.61,Yes / Yes,0.36,52.40%,-,0.67,18.61,6.02%,53.90%,138.52%,May 21 BMO,9.07M,18.31,-6.09%,-6.73%,15.85%,"

","6,113,202",-1.61%,XPEV
