Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,3.06%,16.93B,30.91,2.25,-0.14%,49.87M,3.99%,-81.00M,-,0.42,18.01%,2.47%,-1.08%,2.31B,7.34,19.77%,8.95%,2.29,-12.48%,19.70,3.52,35.85%,-1.29%,1.23M,65.81%,6.59,10.53,32.14%,-1.72%,40.30,86.58,-2.03%,-,54.25,20.21%,-1.68%,-19.83%,2.11,-,2.46,-4.00%,76.44%,72.23%,1.91,-,2.46,49.24%,-6.94%,60.31,0.91%,1.89%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.69,69.41,1.51%,11.72%,13.04%,May 07 AMC,538.09K,69.41,3.16%,5.66%,2.01%,"

","372,007",0.00%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,5.18%,3.20B,15.54,0.88,0.00%,186.36M,2.18%,-51.80M,-,0.14,63.65%,11.15%,-3.06%,1.08B,2.98,16.52%,4.31%,4.42,-48.31%,2.87,4.74,28.27%,-6.33%,20.78M,-17.78%,1.55,8.79,20.44%,-11.93%,10.69,38.20,-24.40%,-,26.40,-5.22%,-5.88%,-64.40%,1.25,-,3.33,26.86%,54.78%,27.22%,0.63,-,3.33,73.68%,-3.42%,51.94,2.39%,2.90%,2191,0.31,40.36%,-4.82%,1.40,25.75,Yes / Yes,0.30,56.04%,-,1.03,13.91,4.02%,0.27%,35.64%,May 01 AMC,4.70M,13.60,-0.15%,3.97%,-33.13%,"

","4,858,531",-2.23%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,20.96,1.60,2.31%,42.23M,7.57%,1.41B,4.71,7.11,0.73%,41.12M,3.55%,76.66M,4.69,1.19,106.78%,8.20%,-15.54%,1.42B,1.00,2.61%,-4.23%,5.51,-43.01%,43.13,0.78,4.72%,2.12%,3.37M,-41.72%,10.24,3.27,4.47%,4.12%,29.15,60.62,-38.30%,-,6.10,-20.26%,2.85%,-44.69%,1.62,-,1.52,0.43%,71.81%,15.05%,1.24,"May 17, 2019",1.52,36.80%,15.50%,55.87,0.51%,3.45%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.76,33.30,1.84%,-8.51%,4.50%,May 08 AMC,612.10K,33.53,3.14%,3.25%,-26.62%,"

","467,169",0.69%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,28.23,10.58,0.80%,51.14M,4.43%,15.19B,18.17,16.43,0.80%,50.45M,12.53%,549.00M,2.70,3.30,91.57%,1.64%,5.39%,5.09B,2.98,7.58%,0.33%,1.26,-27.51%,70.91,4.21,13.00%,7.24%,0.83M,-2.88%,17.28,17.28,10.45%,16.16%,205.73,427.76,-22.68%,-,15.17,0.42%,9.33%,-30.19%,1.75,-,1.02,2.27%,46.59%,45.16%,8.23,-,1.45,109.89%,15.19%,62.37,0.82%,3.03%,9900,0.65,16.72%,10.78%,1.95,321.27,Yes / Yes,0.62,18.23%,0.00%,0.52,295.36,1.39%,11.14%,10.65%,Apr 29 BMO,654.63K,298.63,1.60%,12.81%,-11.78%,"

","341,734",1.11%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.57,4.51,0.14%,197.90M,1.89%,18.37B,11.16,8.32,-0.52%,197.57M,-2.40%,913.30M,4.87,1.98,95.01%,3.01%,-16.10%,7.70B,2.39,-0.35%,1.29%,2.55,-16.08%,62.63,1.48,4.31%,4.19%,5.95M,-17.59%,7.00,13.27,4.22%,7.31%,89.22,116.71,-12.12%,0.89 (0.96%),14.78,-4.13%,4.81%,-20.46%,0.73,0.96 (1.03%),1.46,-0.77%,62.31%,4.05%,2.30,"Jun 26, 2025",2.44,-2.39%,18.72%,43.69,0.46%,1.48%,17000,0.58,3.30%,11.86%,2.47,106.64,Yes / Yes,0.53,9.01%,21.66%,0.85,92.38,0.73%,2.22%,1.05%,May 05 BMO,2.33M,92.83,-1.06%,-5.88%,-11.80%,"

","1,988,683",0.49%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,2.81%,16.92B,31.26,2.25,-0.34%,162.81M,3.51%,-81.00M,-,0.42,68.66%,8.27%,-2.74%,2.31B,7.34,20.54%,9.07%,4.90,-14.80%,19.70,3.57,35.14%,-1.29%,13.46M,64.24%,6.67,10.53,32.56%,-1.72%,41.29,89.39,-5.09%,-,54.24,20.21%,-1.68%,-21.38%,2.13,-,2.46,-4.00%,76.44%,70.21%,1.97,"Jan 12, 2011",2.46,49.24%,-6.94%,59.22,0.93%,1.92%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.45,70.29,1.50%,10.87%,13.04%,May 07 AMC,2.75M,70.28,2.98%,5.23%,0.21%,"

","1,246,288",-0.01%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.53,2.39,3.58%,375.00M,0.59%,16.52B,15.32,2.89,-0.34%,359.93M,0.59%,916.00M,1.64,0.58,89.49%,2.14%,-10.37%,11.33B,1.46,8.61%,4.97%,2.50,-6.09%,15.42,2.87,13.59%,8.22%,7.70M,22.68%,5.34,8.29,11.29%,15.73%,28.50,53.99,-8.16%,0.87 (1.96%),21.26,4.31%,12.04%,-18.06%,0.27,0.80 (1.81%),1.11,5.19%,16.94%,55.23%,1.19,"May 28, 2025",1.26,19.36%,11.95%,50.55,1.60%,2.16%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,1.09,43.08,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.07M,44.24,0.53%,-2.07%,-2.41%,"

","3,348,381",2.69%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.54,5.02,0.15%,278.00M,-1.03%,39.79B,21.30,6.72,-19.70%,277.54M,-3.27%,1.43B,2.49,1.46,84.64%,1.58%,-9.46%,7.74B,5.14,12.05%,-1.92%,1.98,3.60%,-28.07,-,11.26%,22.12%,4.37M,1.86%,2.69,53.19,11.46%,-,122.13,163.30,6.69%,2.84 (1.99%),27.42,4.75%,32.45%,-12.35%,0.74,2.76 (1.93%),1.40,6.17%,46.80%,17.20%,2.57,"May 27, 2025",1.40,-11.50%,31.12%,41.82,1.12%,0.84%,40000,-,10.09%,18.42%,2.57,160.43,Yes / Yes,-,-18.28%,51.40%,0.67,144.83,-3.55%,0.94%,11.83%,Apr 30 BMO,2.21M,143.14,-1.54%,-2.70%,1.86%,"

","1,469,930",-1.17%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,7.82,4.31,0.04%,393.26M,-2.63%,13.26B,7.87,4.28,0.00%,393.12M,9.31%,1.67B,-,0.72,9.10%,1.31%,6.81%,19.64B,0.67,-55.43%,-8.60%,2.38,-12.17%,30.14,1.12,60.40%,5.92%,5.14M,61.99%,3.13,10.78,-2.06%,15.54%,16.18,47.43,-20.70%,-,-,-,8.53%,-28.93%,1.84,-,0.59,7.05%,25.22%,108.34%,1.46,"Jul 09, 2019",0.79,156.14%,7.55%,46.20,2.82%,2.66%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.85,34.27,-0.71%,-105.27%,7.42%,May 08 BMO,2.16M,33.71,-5.29%,1.82%,1.89%,"

","1,827,632",-1.63%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,14.07,1.86,8.78%,92.94M,4.63%,3.49B,18.43,1.42,-14.80%,84.79M,8.03%,176.28M,-,0.30,104.31%,24.96%,3.68%,802.81M,4.35,-30.59%,-2.23%,10.10,-3.11%,1.25,21.04,13.90%,16.56%,21.16M,53.06%,3.98,6.59,-4.45%,124.77%,17.35,38.47,-0.49%,0.50 (1.91%),11.74,-,76.56%,-31.82%,1.22,0.45 (1.70%),0.85,32.00%,59.68%,51.22%,0.82,"Jun 10, 2025",0.85,223.84%,17.05%,59.10,0.74%,1.97%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.62,26.17,1.98%,11.26%,18.05%,May 08 BMO,2.09M,26.23,4.55%,3.30%,-3.89%,"

","1,303,584",0.23%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.85,0.50,5.31%,939.30M,4.75%,11.61B,14.96,0.83,0.00%,889.44M,5.82%,520.12M,0.70,0.16,63.93%,2.25%,1.39%,1.62B,7.18,64.76%,0.99%,2.23,20.47%,5.04,2.45,22.46%,9.19%,20.02M,38.72%,2.98,4.15,35.62%,10.30%,6.66,13.85,14.23%,0.14 (1.17%),-,-,9.86%,-10.73%,0.21,0.10 (0.78%),7.66,34.26%,59.12%,85.59%,0.49,"Apr 07, 2025",7.66,57.72%,28.33%,56.63,2.19%,3.33%,7185,0.00,28.87%,32.16%,1.38,15.55,Yes / Yes,0.00,115.27%,20.00%,0.60,12.13,-14.04%,-55.04%,17.56%,May 21 BMO,8.99M,12.36,2.41%,6.73%,16.99%,"

","5,386,293",1.90%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.50%,123.47M,30.79%,1.09B,15.35,0.57,-1.46%,101.55M,33.18%,-23.36M,-,0.12,64.86%,2.04%,42.05%,434.45M,2.51,43.57%,-6.35%,2.19,1.74%,1.15,7.61,13.43%,-4.43%,2.07M,80.79%,1.06,8.26,25.39%,-15.69%,4.29,9.15,37.58%,-,23.17,27.34%,-10.82%,-4.37%,1.00,-,0.77,7.09%,76.19%,103.96%,0.39,-,0.69,-278.88%,0.75%,79.27,14.17%,6.27%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,1.55,8.88,1.75%,6.67%,14.06%,Jun 03 AMC,945.69K,8.75,21.84%,32.32%,30.81%,"

","1,466,890",-1.46%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,15.56,2.07,1.00%,82.79M,5.36%,2.67B,12.81,2.52,-0.09%,81.99M,8.92%,176.44M,14.02,0.54,106.15%,10.40%,-7.88%,1.84B,1.45,-26.69%,3.88%,3.59,-24.47%,9.23,3.49,25.83%,14.97%,8.52M,-26.29%,3.13,10.31,1.11%,25.01%,26.61,45.25,-16.26%,-,10.92,28.53%,19.18%,-28.73%,1.86,-,1.47,14.90%,58.18%,21.20%,1.24,-,2.58,3.69%,13.11%,59.65,1.36%,3.40%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.70,31.57,1.18%,15.28%,2.85%,May 08 BMO,2.38M,32.25,3.83%,7.58%,-11.02%,"

","1,669,140",2.15%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.81,2.08,3.11%,64.74M,-0.35%,2.36B,13.98,2.65,-7.96%,61.86M,3.58%,143.09M,1.04,0.52,96.61%,5.86%,5.02%,1.44B,1.64,14.57%,-2.43%,4.29,-4.64%,11.24,3.29,22.98%,14.46%,3.63M,2.21%,5.24,7.07,17.05%,19.74%,32.28,41.72,-4.34%,-,8.75,29.12%,19.12%,-11.27%,1.02,-,2.89,6.84%,87.90%,14.67%,0.94,-,2.89,29.17%,12.35%,47.04,0.99%,1.67%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,0.87,37.00,1.54%,11.11%,7.75%,May 08 AMC,844.86K,37.02,-3.60%,1.47%,1.44%,"

","736,918",0.05%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.85,0.77,-,133.34M,1.80%,906.71M,8.05,0.84,-,131.47M,-5.16%,141.18M,-,-,7.95%,0.83%,69.15%,344.82M,2.63,7.43%,5.01%,0.89,54.55%,4.46,1.53,6.29%,18.90%,1.09M,42.86%,5.18,1.31,-,21.03%,3.71,8.29,67.49%,-,-,27.89%,19.10%,-17.97%,0.81,-,6.80,39.86%,64.88%,83.29%,0.41,-,8.16,9.72%,35.80%,44.66,3.12%,3.29%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.54,6.87,2.55%,-,6.53%,May 19 AMC,1.23M,6.80,-6.77%,0.36%,39.15%,"

","662,198",-1.02%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,16.01,4.11,12.93%,556.83M,6.61%,40.49B,18.15,3.63,-0.13%,535.71M,31.39%,2.61B,1.60,0.67,63.69%,3.17%,20.28%,23.94B,1.69,-20.09%,3.29%,1.66,-33.44%,34.80,1.89,34.74%,7.26%,17.00M,1.60%,13.21,4.98,10.03%,12.93%,44.27,99.26,-22.53%,-,33.82,41.45%,9.52%,-33.67%,2.74,-,2.26,38.62%,37.35%,48.72%,2.33,-,2.27,425.38%,8.39%,68.58,1.09%,3.00%,11372,0.28,4.60%,10.92%,1.85,66.36,Yes / Yes,0.28,-59.33%,0.00%,0.69,64.99,-6.70%,-42.53%,-3.11%,May 01 AMC,10.25M,65.84,9.19%,16.96%,-7.68%,"

","7,024,684",1.31%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,34.33,3.72,0.64%,243.40M,1.54%,31.06B,24.71,5.17,-1.03%,241.79M,3.50%,906.00M,3.30,1.14,95.34%,1.07%,-0.48%,8.60B,3.61,8.51%,0.96%,1.48,0.07%,44.44,2.87,11.50%,5.58%,2.58M,-8.62%,4.35,29.33,10.41%,8.62%,100.47,143.50,10.01%,1.42 (1.11%),34.94,10.55%,7.08%,-11.06%,1.12,1.52 (1.19%),1.41,10.25%,37.52%,27.03%,2.14,"May 29, 2025",1.89,32.64%,12.81%,62.07,0.46%,1.11%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.61,126.68,1.41%,7.86%,1.62%,Apr 29 BMO,1.74M,127.63,0.96%,6.90%,2.16%,"

","1,056,621",0.75%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,3.87%,3.23B,7.92,2.05,1.01%,197.77M,1.98%,-908.00M,-,0.50,102.43%,4.81%,1.09%,3.72B,0.87,13.38%,0.91%,3.00,-16.62%,10.09,1.61,8.18%,-13.79%,9.52M,-41.30%,2.00,8.12,10.51%,-34.47%,12.16,27.95,-14.52%,0.67 (4.13%),11.63,-,-24.60%,-41.95%,0.97,0.64 (3.94%),0.76,-1.20%,51.84%,33.43%,0.54,"Jun 27, 2025",1.10,-921.99%,6.75%,56.88,1.34%,2.55%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.55,15.94,2.97%,45.22%,-7.76%,May 08 BMO,3.17M,16.23,0.05%,10.24%,-15.53%,"

","1,732,328",1.79%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,15.22,0.58,1.74%,116.03M,7.36%,1.03B,9.04,0.98,2.96%,113.39M,8.80%,68.54M,0.37,0.23,93.56%,4.56%,-12.06%,1.72B,0.60,118.67%,-5.02%,3.97,-32.11%,12.93,0.69,0.00%,3.19%,5.17M,-56.07%,1.56,5.70,40.76%,4.91%,6.70,24.50,-28.63%,-,29.26,-,4.07%,-63.67%,1.18,-,1.74,24.18%,12.85%,32.94%,0.44,"Aug 29, 2017",2.11,429.11%,7.56%,57.75,2.47%,2.99%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,0.64,8.80,12.59%,-16.26%,1.93%,Apr 30 BMO,1.30M,8.90,5.91%,6.28%,-30.04%,"

","826,589",1.14%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,36.78,3.25,2.94%,118.00M,5.89%,14.08B,25.49,4.69,0.05%,114.34M,6.67%,390.00M,2.96,1.01,105.29%,8.56%,12.50%,8.01B,1.76,-3.83%,23.16%,5.04,-22.94%,13.90,8.60,27.32%,5.04%,9.78M,10.18%,1.80,66.43,12.42%,26.24%,85.06,161.00,-8.85%,-,121.40,-2.04%,7.02%,-25.75%,1.97,-,1.02,-13.48%,11.29%,40.54%,4.15,-,1.02,60.91%,8.67%,56.78,0.74%,3.39%,23100,2.51,1.94%,4.87%,1.57,127.65,Yes / Yes,2.39,2.99%,0.00%,0.42,118.47,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.94M,119.54,-0.65%,9.72%,-3.01%,"

","814,668",0.90%,XPO
