Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,2.54%,17.26B,31.46,2.25,-0.14%,49.87M,2.02%,-81.00M,-,0.42,18.01%,2.37%,6.38%,2.31B,7.49,19.77%,8.95%,2.28,-10.50%,19.70,3.59,35.85%,-1.29%,1.18M,66.02%,6.58,10.74,32.14%,-1.72%,40.30,86.58,-0.30%,-,55.32,20.21%,-1.68%,-18.41%,2.11,-,2.46,-4.00%,76.44%,75.29%,1.86,-,2.46,49.24%,-6.94%,63.65,0.84%,1.40%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.68,70.05,1.51%,11.72%,13.04%,May 07 AMC,516.66K,70.64,4.63%,7.24%,3.42%,"

","350,643",0.84%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-6.67%,3.00B,14.64,0.87,0.00%,186.36M,-14.62%,-51.80M,-,0.13,63.65%,10.65%,-7.08%,1.08B,2.79,9.47%,4.31%,4.40,-44.58%,2.87,4.44,35.63%,-6.33%,19.86M,-22.24%,1.55,8.23,20.44%,-11.93%,10.69,38.20,-29.24%,-,24.71,-5.22%,-5.88%,-66.68%,1.25,-,3.33,26.86%,54.78%,19.08%,0.60,-,3.33,73.68%,-3.42%,42.01,0.97%,2.27%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,0.75,12.85,4.02%,-13.02%,35.64%,May 01 AMC,4.51M,12.73,-4.77%,-2.29%,-36.89%,"

","3,402,950",-0.93%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,20.23,1.60,2.31%,42.23M,-1.37%,1.36B,4.55,7.11,0.73%,41.12M,-4.80%,76.66M,4.53,1.19,106.78%,8.78%,-16.34%,1.42B,0.96,2.61%,-4.23%,5.97,-44.93%,43.13,0.75,4.72%,2.12%,3.61M,-42.67%,10.24,3.16,4.47%,4.12%,29.15,60.62,-40.45%,-,5.89,-20.26%,2.85%,-46.62%,1.62,-,1.52,0.43%,71.81%,11.03%,1.27,"May 17, 2019",1.52,36.80%,15.50%,47.89,2.86%,2.46%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.55,33.84,1.84%,-8.51%,4.50%,May 08 AMC,605.15K,32.36,-0.20%,0.45%,-28.89%,"

","334,338",-4.37%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,27.66,10.58,0.80%,51.14M,0.49%,14.88B,17.81,16.43,0.80%,50.45M,-3.21%,549.00M,2.65,3.30,91.56%,1.63%,7.71%,5.09B,2.92,7.58%,0.33%,1.31,-28.83%,70.91,4.13,13.00%,7.24%,0.82M,-3.28%,17.28,16.93,10.45%,16.16%,205.73,427.76,-24.22%,-,14.87,0.42%,9.33%,-31.58%,1.75,-,1.02,2.27%,46.59%,42.26%,7.77,-,1.45,109.89%,15.19%,55.96,1.45%,1.54%,9900,0.65,16.72%,10.78%,1.95,321.27,Yes / Yes,0.62,18.23%,0.00%,0.47,292.82,1.39%,11.14%,10.65%,Apr 29 BMO,630.08K,292.68,-0.14%,10.24%,-13.34%,"

","295,936",-0.05%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.67,4.51,0.14%,197.90M,1.46%,18.45B,11.22,8.32,-0.52%,197.57M,-4.34%,913.30M,4.90,1.98,94.98%,2.79%,-13.30%,7.70B,2.40,-0.35%,1.29%,2.41,-14.81%,62.63,1.49,4.31%,4.19%,5.51M,-17.38%,7.00,13.33,4.22%,7.31%,89.22,116.71,-11.71%,0.89 (0.96%),14.85,-4.13%,4.81%,-20.09%,0.73,0.96 (1.03%),1.46,-0.77%,62.31%,4.53%,2.17,"Jun 26, 2025",2.44,-2.39%,18.72%,45.58,1.48%,1.32%,17000,0.58,3.30%,11.86%,2.50,106.64,Yes / Yes,0.53,9.01%,21.66%,0.49,94.24,0.73%,2.22%,1.05%,May 05 BMO,2.29M,93.26,-0.14%,-4.37%,-11.15%,"

","1,110,825",-1.04%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,2.82%,17.27B,31.92,2.25,-0.34%,162.81M,2.11%,-81.00M,-,0.42,68.65%,8.56%,4.97%,2.31B,7.49,20.54%,9.07%,5.24,-12.52%,19.70,3.64,35.14%,-1.29%,13.93M,64.99%,6.68,10.75,32.56%,-1.72%,41.67,89.39,-3.08%,-,55.36,20.21%,-1.68%,-19.71%,2.13,-,2.46,-4.00%,76.44%,72.23%,1.93,"Jan 12, 2011",2.46,49.24%,-6.94%,63.20,1.01%,1.46%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.56,71.12,1.50%,10.87%,13.04%,May 07 AMC,2.66M,71.77,4.80%,7.23%,1.97%,"

","1,498,084",0.91%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.70,2.39,3.59%,375.00M,3.84%,16.67B,15.47,2.89,-0.34%,359.93M,-3.12%,916.00M,1.66,0.58,89.46%,2.36%,-9.04%,11.33B,1.47,8.61%,4.97%,2.75,-12.45%,15.42,2.89,13.59%,8.22%,8.48M,28.67%,5.34,8.37,11.29%,15.73%,28.50,53.99,-7.31%,0.87 (1.95%),21.46,4.31%,12.04%,-17.30%,0.27,0.80 (1.79%),1.11,5.19%,16.94%,56.67%,1.12,"May 28, 2025",1.26,19.36%,11.95%,52.37,1.38%,1.89%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.46,44.91,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.08M,44.65,2.01%,-0.17%,-1.86%,"

","1,408,173",-0.58%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.71,5.02,0.15%,278.00M,0.76%,40.02B,21.40,6.73,-19.70%,277.54M,-1.20%,1.43B,2.47,1.46,84.61%,1.52%,-6.16%,7.74B,5.17,12.06%,-1.92%,1.96,3.52%,-28.07,-,11.38%,22.12%,4.21M,4.47%,2.69,53.50,11.63%,-,122.13,163.30,7.31%,2.84 (1.98%),27.58,4.75%,32.45%,-11.84%,0.73,2.76 (1.92%),1.40,6.17%,46.80%,17.88%,2.43,"May 27, 2025",1.40,-11.50%,31.12%,45.33,0.79%,0.84%,40000,-,10.09%,18.42%,2.52,161.09,Yes / Yes,-,-18.28%,51.40%,0.51,143.41,-3.55%,0.94%,11.83%,Apr 30 BMO,2.15M,143.97,-0.75%,-1.59%,2.38%,"

","1,096,395",0.39%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.40,4.31,0.04%,393.26M,6.88%,14.24B,8.46,4.28,0.00%,393.12M,0.84%,1.67B,-,0.72,9.10%,1.66%,7.42%,19.64B,0.72,-55.43%,-8.60%,3.05,-10.61%,30.14,1.20,60.40%,5.92%,6.54M,73.84%,3.13,11.57,-2.06%,15.54%,16.18,47.43,-14.82%,-,-,-,8.53%,-23.65%,1.84,-,0.59,7.05%,25.22%,123.79%,1.53,"Jul 09, 2019",0.79,156.14%,7.55%,57.11,4.13%,2.51%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,0.47,35.92,-0.71%,-105.27%,7.42%,May 08 BMO,2.15M,36.21,1.62%,9.25%,8.70%,"

","1,007,481",0.81%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.62,1.86,8.78%,92.94M,-2.20%,3.38B,17.84,1.42,-14.80%,84.73M,1.68%,176.28M,-,0.30,104.31%,25.01%,1.89%,802.81M,4.21,-30.59%,-2.23%,10.57,-6.59%,1.25,20.37,13.90%,16.56%,21.19M,40.53%,3.98,6.37,-4.45%,124.77%,17.39,38.47,-3.68%,0.50 (1.97%),11.36,-,76.56%,-34.00%,1.22,0.47 (1.86%),0.85,32.00%,59.68%,45.96%,0.78,"Jun 10, 2025",0.85,223.84%,17.05%,50.34,0.86%,1.98%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.55,25.50,1.98%,11.26%,18.05%,May 08 BMO,2.00M,25.39,0.79%,0.11%,-6.85%,"

","1,101,718",-0.43%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,25.14,0.50,5.31%,939.30M,1.05%,11.74B,15.13,0.83,0.00%,889.44M,-1.42%,520.12M,0.71,0.16,63.88%,2.46%,-2.04%,1.62B,7.26,64.62%,0.99%,2.51,1.79%,5.04,2.48,22.46%,9.19%,21.88M,42.53%,2.98,4.20,35.59%,10.30%,6.66,13.85,15.53%,0.14 (1.15%),-,-,9.86%,-9.71%,0.21,0.10 (0.77%),7.66,34.26%,59.12%,87.69%,0.48,"Apr 07, 2025",7.66,57.72%,28.33%,57.82,2.11%,2.74%,7185,0.00,28.87%,32.16%,1.38,15.55,Yes / Yes,0.00,115.27%,20.00%,0.78,12.11,-14.04%,-55.04%,17.56%,May 21 BMO,8.71M,12.50,4.08%,8.24%,17.53%,"

","6,801,149",3.22%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.50%,123.47M,-5.34%,1.02B,14.61,0.57,-1.66%,99.76M,22.68%,-23.36M,-,0.12,66.03%,2.21%,38.37%,434.45M,2.35,43.57%,-6.35%,2.29,-2.23%,1.15,7.24,13.43%,-4.43%,2.21M,65.28%,1.08,7.72,25.39%,-15.69%,4.69,9.15,30.97%,-,21.67,27.34%,-10.82%,-8.96%,1.00,-,0.69,7.09%,76.19%,77.61%,0.37,-,0.69,-278.88%,1.68%,67.74,1.02%,6.38%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,1.05,8.39,1.75%,6.67%,14.06%,Jun 03 AMC,963.21K,8.33,12.08%,23.43%,23.59%,"

","1,008,315",-0.72%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,15.17,2.07,1.00%,82.79M,0.19%,2.60B,12.49,2.52,-0.09%,81.99M,-0.69%,176.44M,13.67,0.54,106.17%,9.08%,-1.47%,1.84B,1.42,-26.69%,3.88%,3.10,-27.65%,9.23,3.41,25.83%,14.97%,7.44M,-26.71%,3.13,10.05,1.11%,25.01%,26.61,45.25,-18.33%,-,10.64,28.53%,19.18%,-30.50%,1.86,-,1.47,14.90%,58.18%,18.19%,1.18,-,2.58,3.69%,13.11%,53.56,2.18%,2.25%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.56,31.51,1.18%,15.28%,2.85%,May 08 BMO,2.40M,31.45,1.14%,5.23%,-12.90%,"

","1,334,275",-0.19%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.23,2.08,3.11%,64.74M,-2.66%,2.29B,13.52,2.65,-8.81%,61.86M,-11.73%,143.09M,1.01,0.52,96.62%,6.53%,5.35%,1.44B,1.59,14.57%,-2.43%,4.79,-9.32%,11.24,3.19,22.98%,14.46%,4.04M,-1.59%,5.24,6.84,17.05%,19.74%,32.28,41.72,-7.44%,-,8.47,29.12%,19.12%,-14.14%,1.02,-,2.89,6.84%,87.90%,10.95%,0.93,-,2.89,29.17%,12.35%,39.36,1.26%,1.46%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,1.01,36.51,1.54%,11.11%,7.75%,May 08 AMC,842.50K,35.82,-5.21%,-1.66%,-1.94%,"

","853,633",-1.89%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.76,0.77,-,133.34M,-2.32%,897.38M,7.96,0.84,-,131.47M,-13.50%,141.18M,-,-,7.95%,1.06%,40.21%,344.82M,2.60,7.43%,5.01%,1.11,49.22%,4.46,1.51,6.29%,18.90%,1.39M,45.67%,5.18,1.30,-,21.03%,3.71,8.29,65.76%,-,-,27.89%,19.10%,-18.82%,0.81,-,6.80,39.86%,64.88%,81.40%,0.38,-,8.16,9.72%,35.80%,43.83,1.78%,3.03%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.51,6.69,2.55%,-,6.53%,May 19 AMC,1.25M,6.73,-5.92%,-1.93%,36.50%,"

","629,643",0.60%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.53,4.11,12.90%,556.83M,0.39%,39.27B,17.60,3.63,-0.14%,535.71M,9.76%,2.61B,1.55,0.67,63.68%,3.51%,18.15%,23.94B,1.64,-20.09%,3.29%,1.88,-33.09%,34.80,1.83,34.73%,7.26%,18.82M,-0.76%,13.21,4.83,10.03%,12.93%,44.27,99.26,-24.87%,-,32.80,41.45%,9.52%,-35.67%,2.74,-,2.26,38.62%,37.35%,44.23%,2.23,-,2.27,425.38%,8.39%,60.86,1.39%,2.28%,11372,0.28,4.60%,10.92%,1.87,66.36,Yes / Yes,0.28,-59.33%,0.00%,0.52,64.06,-6.70%,-42.53%,-3.11%,May 01 AMC,10.02M,63.85,4.10%,12.34%,-10.45%,"

","5,191,239",-0.33%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,34.25,3.72,0.64%,243.40M,0.51%,30.98B,24.62,5.17,-1.03%,241.79M,0.29%,906.00M,3.29,1.15,95.31%,1.20%,5.21%,8.60B,3.60,8.66%,0.96%,1.69,-1.58%,44.44,2.86,11.44%,5.58%,2.91M,-8.58%,4.35,29.25,10.41%,8.62%,100.47,143.50,9.72%,1.43 (1.12%),34.85,10.55%,7.08%,-11.29%,1.12,1.52 (1.19%),1.41,10.25%,37.52%,26.70%,2.04,"May 29, 2025",1.89,32.64%,12.81%,58.66,0.88%,0.80%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.46,127.02,1.41%,7.86%,1.62%,Apr 29 BMO,1.72M,127.30,0.57%,6.20%,2.00%,"

","791,010",0.22%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,0.69%,3.19B,7.82,2.05,1.01%,197.77M,-3.55%,-908.00M,-,0.50,102.43%,4.52%,6.73%,3.72B,0.86,13.38%,0.91%,2.83,-17.69%,10.09,1.59,8.18%,-13.79%,8.94M,-40.81%,2.00,8.02,10.51%,-34.47%,12.16,27.95,-15.65%,0.67 (4.19%),11.48,-,-24.60%,-42.72%,0.97,0.64 (4.00%),0.76,-1.20%,51.84%,31.66%,0.53,"Jun 27, 2025",1.10,-921.99%,6.75%,53.11,1.65%,2.22%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.51,16.11,2.97%,45.22%,-7.76%,May 08 BMO,3.16M,16.01,-0.88%,8.19%,-16.10%,"

","1,596,733",-0.62%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,16.26,0.58,1.74%,116.03M,11.62%,1.10B,9.66,0.98,2.96%,113.39M,9.94%,68.54M,0.40,0.23,93.56%,5.00%,-7.85%,1.72B,0.64,118.67%,-5.02%,4.45,-20.82%,12.93,0.74,0.00%,3.19%,5.67M,-55.52%,1.56,6.09,40.76%,4.91%,6.70,24.50,-23.74%,-,31.26,-,4.07%,-61.18%,1.19,-,1.74,24.18%,12.85%,42.05%,0.46,"Aug 29, 2017",2.11,429.11%,7.56%,62.88,3.73%,3.24%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,0.90,9.77,12.59%,-16.26%,1.93%,Apr 30 BMO,1.28M,9.51,11.25%,13.90%,-24.30%,"

","1,144,563",-2.66%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,37.61,3.25,2.94%,118.00M,4.77%,14.40B,26.07,4.69,0.05%,114.34M,-2.98%,390.00M,3.03,1.01,105.29%,8.15%,15.19%,8.01B,1.80,-3.83%,23.16%,4.94,-20.37%,13.90,8.80,27.32%,5.04%,9.32M,14.12%,1.80,67.93,12.42%,26.24%,85.06,161.00,-6.79%,-,124.14,-2.04%,7.02%,-24.07%,1.97,-,1.02,-13.48%,11.29%,43.71%,4.17,-,1.02,60.91%,8.67%,58.78,2.37%,1.85%,23100,2.51,1.94%,4.87%,1.57,127.87,Yes / Yes,2.39,2.99%,0.00%,0.51,120.59,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.89M,122.24,2.18%,11.33%,-0.81%,"

","970,273",1.37%,XPO
