Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,79.35%,51.87M,3.51%,17.16B,31.35,2.25,-0.14%,49.87M,5.41%,-81.00M,-,0.42,18.01%,2.47%,2.88%,2.31B,7.45,19.77%,8.95%,2.31,-10.06%,19.70,3.57,35.85%,-1.29%,1.23M,68.80%,6.59,10.68,32.14%,-1.72%,40.30,86.58,-0.65%,-,55.01,20.21%,-1.68%,-18.70%,2.11,-,2.46,-4.00%,76.44%,74.67%,1.86,-,2.46,49.24%,-6.94%,63.52,0.79%,1.58%,6856,0.14,14.96%,-3.51%,2.20,78.88,Yes / Yes,0.02,131.84%,-,0.55,69.41,1.51%,11.72%,13.04%,May 07 AMC,531.70K,70.39,4.59%,7.05%,3.31%,"

","290,119",1.41%,ZG
Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.29,20.88%,211.97M,-0.08%,3.10B,15.13,0.87,0.00%,186.36M,-1.42%,-51.80M,-,0.13,63.65%,11.15%,-7.91%,1.08B,2.88,9.47%,4.31%,4.45,-48.97%,2.87,4.59,35.63%,-6.33%,20.78M,-19.66%,1.55,8.51,20.44%,-11.93%,10.69,38.20,-26.85%,-,25.55,-5.22%,-5.88%,-65.55%,1.25,-,3.33,26.86%,54.78%,23.11%,0.63,-,3.33,73.68%,-3.42%,46.63,3.19%,2.49%,2191,0.31,40.36%,-4.82%,1.40,25.33,Yes / Yes,0.30,56.04%,-,0.74,13.60,4.02%,-13.02%,35.64%,May 01 AMC,4.67M,13.16,-2.97%,0.69%,-35.12%,"

","3,452,743",-3.24%,ZETA
Ziff Davis Inc,Communication Services,Advertising Agencies,USA,NASD,RUT,21.42,1.60,2.31%,42.23M,6.10%,1.44B,4.82,7.11,0.73%,41.12M,10.84%,76.66M,4.79,1.19,106.78%,8.20%,-14.31%,1.42B,1.02,2.61%,-4.23%,5.55,-40.64%,43.13,0.79,4.72%,2.12%,3.37M,-40.50%,10.24,3.35,4.47%,4.12%,29.15,60.62,-36.95%,-,6.24,-20.26%,2.85%,-43.48%,1.62,-,1.52,0.43%,71.81%,17.55%,1.26,"May 17, 2019",1.52,36.80%,15.50%,59.46,0.80%,2.30%,3800,0.47,3.24%,5.41%,2.00,42.57,Yes / Yes,0.47,143.08%,0.00%,0.86,33.53,1.84%,-8.51%,4.50%,May 08 AMC,608.18K,34.26,5.46%,5.75%,-24.93%,"

","524,750",2.18%,ZD
Zebra Technologies Corp,Technology,Communication Equipment,USA,NASD,S&P 500,28.32,10.58,0.80%,51.14M,2.59%,15.23B,18.23,16.43,0.80%,50.45M,12.32%,549.00M,2.71,3.30,91.57%,1.64%,6.86%,5.09B,2.99,7.58%,0.33%,1.29,-26.03%,70.91,4.22,13.00%,7.24%,0.83M,-2.58%,17.28,17.33,10.45%,16.16%,205.73,427.76,-22.44%,-,15.22,0.42%,9.33%,-29.97%,1.75,-,1.02,2.27%,46.59%,45.61%,7.96,-,1.45,109.89%,15.19%,62.96,0.63%,1.48%,9900,0.65,16.72%,10.78%,1.95,321.27,Yes / Yes,0.62,18.23%,0.00%,0.49,298.63,1.39%,11.14%,10.65%,Apr 29 BMO,641.56K,299.56,1.93%,13.00%,-11.44%,"

","315,523",0.31%,ZBRA
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,21.04,4.51,0.14%,197.90M,3.34%,18.78B,11.42,8.32,-0.52%,197.57M,-0.30%,913.30M,4.98,1.98,95.01%,3.01%,-11.57%,7.70B,2.44,-0.35%,1.29%,2.55,-13.05%,62.63,1.52,4.31%,4.19%,5.95M,-16.27%,7.00,13.56,4.22%,7.31%,89.22,116.71,-10.14%,0.89 (0.94%),15.11,-4.13%,4.81%,-18.67%,0.73,0.96 (1.01%),1.46,-0.77%,62.31%,6.39%,2.29,"Jun 26, 2025",2.44,-2.39%,18.72%,50.55,0.87%,1.39%,17000,0.58,3.30%,11.86%,2.47,106.64,Yes / Yes,0.53,9.01%,21.66%,0.46,92.83,0.73%,2.22%,1.05%,May 05 BMO,2.33M,94.92,1.35%,-3.42%,-9.75%,"

","1,075,031",2.25%,ZBH
Zillow Group Inc,Communication Services,Internet Content & Information,USA,NASD,-,-,-0.35,32.57%,183.23M,3.47%,17.22B,31.81,2.25,-0.34%,162.81M,5.27%,-81.00M,-,0.42,68.66%,8.27%,1.91%,2.31B,7.47,20.54%,9.07%,4.95,-12.04%,19.70,3.63,35.14%,-1.29%,13.46M,67.55%,6.67,10.72,32.56%,-1.72%,41.67,89.39,-3.43%,-,55.19,20.21%,-1.68%,-20.00%,2.13,-,2.46,-4.00%,76.44%,71.61%,1.94,"Jan 12, 2011",2.46,49.24%,-6.94%,63.11,1.00%,1.64%,6856,0.14,14.96%,-3.51%,2.24,78.71,Yes / Yes,0.02,131.84%,-,0.42,70.28,1.50%,10.87%,13.04%,May 07 AMC,2.72M,71.51,4.75%,6.99%,1.84%,"

","1,141,599",1.75%,Z
Yum China Holdings Inc,Consumer Cyclical,Restaurants,China,NYSE,-,18.75,2.39,3.59%,375.00M,3.18%,16.71B,15.51,2.89,-0.34%,359.93M,1.36%,916.00M,1.66,0.58,89.50%,2.14%,-8.84%,11.33B,1.48,8.61%,4.97%,2.49,-6.73%,15.42,2.90,13.59%,8.22%,7.70M,25.76%,5.34,8.39,11.29%,15.73%,28.50,53.99,-7.06%,0.87 (1.94%),21.52,4.31%,12.04%,-17.08%,0.27,0.80 (1.79%),1.11,5.19%,16.94%,57.09%,1.19,"May 28, 2025",1.26,19.36%,11.95%,53.25,1.14%,1.94%,350000,0.41,2.79%,8.09%,1.28,57.09,Yes / Yes,0.32,8.47%,27.40%,0.57,44.24,-3.58%,-1.91%,0.78%,Apr 30 BMO,3.09M,44.77,1.89%,-0.58%,-1.36%,"

","1,758,984",1.20%,YUMC
Yum Brands Inc,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,28.70,5.02,0.15%,278.00M,-0.03%,40.00B,21.39,6.73,-19.70%,277.54M,-2.18%,1.43B,2.47,1.46,84.64%,1.58%,-8.16%,7.74B,5.17,12.06%,-1.92%,2.01,4.19%,-28.07,-,11.38%,22.12%,4.37M,2.19%,2.69,53.48,11.63%,-,122.13,163.30,7.27%,2.84 (1.98%),27.57,4.75%,32.45%,-11.87%,0.73,2.76 (1.92%),1.40,6.17%,46.80%,17.84%,2.57,"May 27, 2025",1.40,-11.50%,31.12%,44.67,1.17%,0.85%,40000,-,10.09%,18.42%,2.52,161.18,Yes / Yes,-,-18.28%,51.40%,0.74,143.14,-3.55%,0.94%,11.83%,Apr 30 BMO,2.18M,143.92,-0.90%,-2.01%,2.39%,"

","1,614,046",0.54%,YUM
YPF ADR,Energy,Oil & Gas Integrated,Argentina,NYSE,-,8.42,4.31,0.04%,393.26M,2.75%,14.27B,8.48,4.28,0.00%,393.12M,10.98%,1.67B,-,0.72,9.10%,1.31%,13.80%,19.64B,0.73,-55.43%,-8.60%,2.39,-5.64%,30.14,1.20,60.40%,5.92%,5.14M,80.55%,3.13,11.60,-2.06%,15.54%,16.18,47.43,-14.63%,-,-,-,8.53%,-23.49%,1.84,-,0.59,7.05%,25.22%,124.29%,1.55,"Jul 09, 2019",0.79,156.14%,7.55%,57.81,3.84%,2.51%,-,0.88,8.58%,8.49%,1.83,45.09,Yes / Yes,0.68,-102.92%,0.00%,1.33,33.71,-0.71%,-105.27%,7.42%,May 08 BMO,2.15M,36.29,1.85%,9.59%,9.44%,"

","2,864,522",7.65%,YPF
Clear Secure Inc,Technology,Software - Application,USA,NYSE,RUT,13.92,1.86,8.78%,92.94M,-0.35%,3.45B,18.24,1.42,-14.80%,84.79M,7.72%,176.28M,-,0.30,104.31%,24.96%,3.18%,802.81M,4.30,-30.59%,-2.23%,10.27,-3.01%,1.25,20.83,13.90%,16.56%,21.16M,47.81%,3.98,6.52,-4.45%,124.77%,17.39,38.47,-1.52%,0.50 (1.93%),11.61,-,76.56%,-32.52%,1.22,0.47 (1.82%),0.85,32.00%,59.68%,49.24%,0.80,"Jun 10, 2025",0.85,223.84%,17.05%,56.14,0.81%,1.95%,4022,1.02,21.59%,21.96%,2.44,29.25,Yes / Yes,0.97,29.71%,26.62%,0.44,26.23,1.98%,11.26%,18.05%,May 08 BMO,2.06M,25.96,3.20%,2.29%,-4.85%,"

","900,350",-1.03%,YOU
Full Truck Alliance Co Ltd ADR,Technology,Software - Application,China,NYSE,-,24.59,0.50,5.31%,939.30M,3.91%,11.49B,14.81,0.83,0.00%,889.44M,6.35%,520.12M,0.69,0.16,63.93%,2.25%,-2.78%,1.62B,7.10,64.92%,0.99%,2.25,15.81%,5.04,2.43,22.46%,9.19%,20.02M,35.89%,2.98,4.11,35.67%,10.30%,6.66,13.85,13.03%,0.14 (1.18%),-,-,9.86%,-11.66%,0.21,0.10 (0.78%),7.66,34.26%,59.12%,83.63%,0.47,"Apr 07, 2025",7.66,57.72%,28.33%,54.57,2.37%,2.64%,7185,0.00,28.87%,32.16%,1.38,15.55,Yes / Yes,0.00,115.27%,20.00%,0.40,12.36,-14.04%,-55.04%,17.56%,May 21 BMO,8.90M,12.23,1.49%,5.73%,15.50%,"

","3,523,060",-1.05%,YMM
Yext Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.18,18.50%,123.47M,26.83%,1.08B,15.18,0.57,-1.46%,101.55M,30.27%,-23.36M,-,0.12,64.86%,2.04%,40.42%,434.45M,2.48,43.57%,-6.35%,2.17,2.37%,1.15,7.52,13.43%,-4.43%,2.07M,83.26%,1.06,8.16,25.39%,-15.69%,4.29,9.15,36.01%,-,22.91,27.34%,-10.82%,-5.46%,1.00,-,0.69,7.09%,76.19%,101.63%,0.38,-,0.69,-278.88%,1.68%,76.38,1.25%,6.29%,1150,0.65,8.38%,-5.38%,1.50,9.44,Yes / Yes,0.52,119.41%,-,0.90,8.75,1.75%,6.67%,14.06%,Jun 03 AMC,954.81K,8.65,18.83%,29.84%,28.97%,"

","863,473",-1.14%,YEXT
YETI Holdings Inc,Consumer Cyclical,Leisure,USA,NYSE,-,15.67,2.07,1.00%,82.79M,2.62%,2.69B,12.90,2.52,-0.09%,81.99M,15.34%,176.44M,14.12,0.54,106.15%,10.40%,-4.41%,1.84B,1.46,-26.69%,3.88%,3.58,-21.94%,9.23,3.52,25.83%,14.97%,8.52M,-25.74%,3.13,10.38,1.11%,25.01%,26.61,45.25,-15.66%,-,10.99,28.53%,19.18%,-28.22%,1.86,-,1.47,14.90%,58.18%,22.06%,1.22,-,2.58,3.69%,13.11%,60.77,1.37%,2.15%,1340,0.24,8.38%,9.59%,2.44,34.07,Yes / Yes,0.20,9.29%,0.00%,0.94,32.25,1.18%,15.28%,2.85%,May 08 BMO,2.38M,32.48,4.44%,8.40%,-10.28%,"

","2,234,429",0.71%,YETI
Yelp Inc,Communication Services,Internet Content & Information,USA,NYSE,RUT,17.89,2.08,3.11%,64.74M,-0.80%,2.37B,14.04,2.65,-8.81%,61.86M,-4.57%,143.09M,1.05,0.52,96.61%,5.86%,5.83%,1.44B,1.65,14.57%,-2.43%,4.32,-2.72%,11.24,3.31,22.98%,14.46%,3.63M,2.71%,5.24,7.10,17.05%,19.74%,32.28,41.72,-3.88%,-,8.79,29.12%,19.12%,-10.83%,1.02,-,2.89,6.84%,87.90%,15.22%,0.94,-,2.89,29.17%,12.35%,48.48,1.08%,1.46%,5116,0.05,5.93%,9.95%,3.08,38.62,Yes / Yes,0.03,84.94%,0.00%,0.93,37.02,1.54%,11.11%,7.75%,May 08 AMC,838.85K,37.20,-2.74%,1.97%,1.89%,"

","781,419",0.49%,YELP
Yalla Group Limited ADR,Technology,Software - Application,United Arab Emirates,NYSE,-,8.95,0.77,-,133.34M,0.73%,917.38M,8.14,0.84,-,131.47M,-4.44%,141.18M,-,-,7.95%,0.83%,63.81%,344.82M,2.66,7.43%,5.01%,0.88,60.00%,4.46,1.54,6.29%,18.90%,1.09M,47.64%,5.18,1.33,-,21.03%,3.71,8.29,69.46%,-,-,27.89%,19.10%,-17.01%,0.81,-,6.80,39.86%,64.88%,85.44%,0.39,-,8.16,9.72%,35.80%,46.56,1.86%,3.17%,815,0.00,6.40%,40.94%,1.67,8.10,Yes / Yes,0.00,16.01%,0.00%,0.52,6.80,2.55%,-,6.53%,May 19 AMC,1.24M,6.88,-5.29%,1.11%,40.34%,"

","647,803",1.18%,YALA
Block Inc,Technology,Software - Infrastructure,USA,NYSE,-,15.68,4.11,12.90%,556.83M,1.53%,39.66B,17.77,3.63,-0.14%,535.71M,28.04%,2.61B,1.56,0.67,63.69%,3.17%,16.62%,23.94B,1.66,-20.09%,3.29%,1.67,-32.74%,34.80,1.85,34.74%,7.26%,17.00M,-2.89%,13.21,4.88,10.03%,12.93%,44.27,99.26,-24.13%,-,33.12,41.45%,9.52%,-35.04%,2.74,-,2.26,38.62%,37.35%,45.65%,2.29,-,2.27,425.38%,8.39%,63.27,1.88%,2.52%,11372,0.28,4.60%,10.92%,1.85,66.36,Yes / Yes,0.28,-59.33%,0.00%,0.74,65.84,-6.70%,-42.53%,-3.11%,May 01 AMC,10.19M,64.48,6.10%,14.17%,-9.58%,"

","7,513,124",-2.07%,XYZ
Xylem Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,34.57,3.72,0.64%,243.40M,1.05%,31.27B,24.87,5.17,-1.03%,241.79M,4.59%,906.00M,3.32,1.14,95.34%,1.07%,3.93%,8.60B,3.64,8.51%,0.96%,1.48,1.79%,44.44,2.89,11.50%,5.58%,2.58M,-6.12%,4.35,29.53,10.41%,8.62%,100.47,143.50,10.75%,1.42 (1.10%),35.17,10.55%,7.08%,-10.46%,1.12,1.52 (1.18%),1.41,10.25%,37.52%,27.88%,2.10,"May 29, 2025",1.89,32.64%,12.81%,64.45,0.42%,0.80%,23000,0.20,8.14%,10.54%,1.83,143.40,Yes / Yes,0.18,10.10%,39.40%,0.43,127.63,1.41%,7.86%,1.62%,Apr 29 BMO,1.74M,128.49,1.59%,7.46%,2.88%,"

","740,225",0.67%,XYL
DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,NASD,-,-,-4.54,0.76%,199.30M,3.27%,3.27B,8.01,2.05,1.01%,197.77M,3.80%,-908.00M,-,0.50,102.43%,4.81%,3.14%,3.72B,0.88,13.38%,0.91%,3.00,-15.02%,10.09,1.63,8.18%,-13.79%,9.52M,-40.93%,2.00,8.22,10.51%,-34.47%,12.16,27.95,-13.54%,0.67 (4.08%),11.76,-,-24.60%,-41.29%,0.97,0.64 (3.90%),0.76,-1.20%,51.84%,34.95%,0.54,"Jun 27, 2025",1.10,-921.99%,6.75%,58.83,1.31%,2.19%,14000,1.21,-5.61%,-24.42%,2.50,17.96,Yes / Yes,0.84,15.99%,-,0.37,16.23,2.97%,45.22%,-7.76%,May 08 BMO,3.17M,16.41,1.30%,11.27%,-14.39%,"

","1,159,699",1.14%,XRAY
Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,16.19,0.58,1.74%,116.03M,7.61%,1.09B,9.62,0.98,2.96%,113.39M,14.51%,68.54M,0.40,0.23,93.56%,4.56%,-9.55%,1.72B,0.64,118.67%,-5.02%,4.01,-27.77%,12.93,0.73,0.00%,3.19%,5.17M,-53.44%,1.56,6.07,40.76%,4.91%,6.70,24.50,-24.06%,-,31.13,-,4.07%,-61.35%,1.18,-,1.74,24.18%,12.85%,41.45%,0.46,"Aug 29, 2017",2.11,429.11%,7.56%,64.96,2.97%,3.12%,8500,0.14,10.48%,3.98%,1.60,12.60,Yes / Yes,0.12,590.95%,0.00%,0.70,8.90,12.59%,-16.26%,1.93%,Apr 30 BMO,1.29M,9.47,12.16%,13.26%,-25.25%,"

","904,090",6.40%,XPRO
XPO Inc,Industrials,Trucking,USA,NYSE,-,38.01,3.25,2.94%,118.00M,7.44%,14.55B,26.34,4.69,0.05%,114.34M,11.28%,390.00M,3.06,1.01,105.29%,8.56%,15.28%,8.01B,1.82,-3.83%,23.16%,5.11,-17.86%,13.90,8.89,27.32%,5.04%,9.78M,14.38%,1.80,68.64,12.42%,26.24%,85.06,161.00,-5.81%,-,125.45,-2.04%,7.02%,-23.27%,1.97,-,1.02,-13.48%,11.29%,45.23%,4.15,-,1.02,60.91%,8.67%,62.07,1.03%,1.78%,23100,2.51,1.94%,4.87%,1.57,127.65,Yes / Yes,2.39,2.99%,0.00%,0.60,119.54,-1.26%,11.11%,-3.17%,Apr 30 BMO,1.92M,123.53,2.79%,13.04%,0.22%,"

","1,141,644",3.34%,XPO
